;name;train_acc;eval_acc
0;train-conv1;0.055621638122506555;0.0557
1;train-layer1-0-conv1_1x1;0.0721376014484363;0.0799
2;train-layer1-0-conv2_1x1;0.08990620953904778;0.1013
3;train-layer1-0-conv3_3x3;0.08569563890146212;0.0998
4;train-layer1-0-conv4_1x1;0.1038747776292382;0.116
5;train-layer1-0-conv5_1x1;0.10152738449878419;0.1121
6;train-layer1-0-shortcut-0;0.12283287192496763;0.1363
7;train-layer2-0-conv1_1x1;0.19259150096316804;0.2095
8;train-layer2-0-conv2_1x1;0.15826482384025095;0.1788
9;train-layer2-0-conv3_3x3;0.16985441952020547;0.1843
10;train-layer2-0-conv4_1x1;0.17400183159822735;0.1918
11;train-layer2-0-conv5_1x1;0.18801250539479364;0.2049
12;train-layer2-0-shortcut-0;0.18979147148917358;0.2001
13;train-layer3-0-conv1_1x1;0.3039295150475268;0.3122
14;train-layer3-0-conv2_1x1;0.24297097864188044;0.2623
15;train-layer3-0-conv3_3x3;0.2735502478973463;0.2868
16;train-layer3-0-conv4_1x1;0.2891083064032253;0.31
17;train-layer3-0-conv5_1x1;0.3365298582090338;0.3465
18;train-layer3-0-shortcut-0;0.2996663122769713;0.2871
19;train-layer3-1-conv1_1x1;0.3620774955525848;0.3535
20;train-layer3-1-conv2_1x1;0.31343487826187644;0.3154
21;train-layer3-1-conv3_3x3;0.3389614627522395;0.3312
22;train-layer3-1-conv4_1x1;0.3578669249149991;0.3463
23;train-layer3-1-conv5_1x1;0.38385667217549657;0.3773
24;train-layer4-0-conv1_1x1;0.5468162822766556;0.5117
25;train-layer4-0-conv2_1x1;0.5371109169570206;0.5206
26;train-layer4-0-conv3_3x3;0.6118380193475721;0.5785
27;train-layer4-0-conv4_1x1;0.6304066358593249;0.5944
28;train-layer4-0-conv5_1x1;0.7822924451836335;0.6815
29;train-layer4-0-shortcut-0;0.5620374951315277;0.4855
30;train-linear;0.7611448541563596;0.6885
