Epoch,training_time
0,25.11121368408203
1,22.251049041748047
2,22.600560188293457
3,21.70408844947815
4,22.444926977157593
5,22.343955993652344
6,22.345390796661377
7,22.671061515808105
8,22.99680233001709
9,22.260744333267212
10,22.22751259803772
11,22.201546669006348
12,24.11154556274414
13,21.776727199554443
14,22.31828236579895
15,22.119804620742798
16,22.14151930809021
17,21.744892835617065
18,21.919167041778564
19,22.260713577270508
20,22.49134087562561
21,22.450373649597168
22,24.405440092086792
23,22.091967582702637
24,22.09325647354126
25,22.110920906066895
26,22.241061210632324
27,22.628762006759644
28,22.169692993164062
