Epoch,test accuracy,training accuracy
144,82.79,"(87.094, 43547, 50000)"
145,83.48,"(87.21, 43605, 50000)"
146,83.39,"(87.77, 43885, 50000)"
147,84.22,"(87.568, 43784, 50000)"
148,83.46,"(87.572, 43786, 50000)"
149,84.03,"(88.082, 44041, 50000)"
150,83.55,"(88.184, 44092, 50000)"
151,84.69,"(88.562, 44281, 50000)"
152,83.44,"(88.714, 44357, 50000)"
153,84.83,"(88.988, 44494, 50000)"
154,85.1,"(89.1, 44550, 50000)"
155,85.31,"(89.328, 44664, 50000)"
156,84.2,"(89.658, 44829, 50000)"
157,85.24,"(89.692, 44846, 50000)"
158,85.77,"(90.034, 45017, 50000)"
159,84.96,"(90.022, 45011, 50000)"
160,86.33,"(90.39, 45195, 50000)"
161,85.46,"(90.598, 45299, 50000)"
162,85.66,"(90.85, 45425, 50000)"
163,86.1,"(91.382, 45691, 50000)"
164,85.9,"(91.546, 45773, 50000)"
165,85.9,"(91.702, 45851, 50000)"
166,85.76,"(91.822, 45911, 50000)"
167,86.39,"(92.156, 46078, 50000)"
168,86.12,"(92.41, 46205, 50000)"
169,86.07,"(92.676, 46338, 50000)"
170,87.19,"(92.966, 46483, 50000)"
171,86.92,"(93.072, 46536, 50000)"
172,86.79,"(93.382, 46691, 50000)"
173,86.88,"(93.668, 46834, 50000)"
174,86.67,"(93.714, 46857, 50000)"
175,87.38,"(94.12, 47060, 50000)"
176,87.32,"(94.508, 47254, 50000)"
177,87.47,"(94.89, 47445, 50000)"
178,86.9,"(95.184, 47592, 50000)"
179,87.16,"(95.282, 47641, 50000)"
180,87.59,"(95.366, 47683, 50000)"
181,88.08,"(95.964, 47982, 50000)"
182,87.93,"(95.93, 47965, 50000)"
183,87.78,"(96.236, 48118, 50000)"
184,88.1,"(96.374, 48187, 50000)"
185,87.99,"(96.536, 48268, 50000)"
186,88.3,"(96.714, 48357, 50000)"
187,88.17,"(96.718, 48359, 50000)"
188,88.51,"(97.028, 48514, 50000)"
189,88.18,"(96.986, 48493, 50000)"
190,88.28,"(97.342, 48671, 50000)"
191,88.17,"(97.336, 48668, 50000)"
192,88.35,"(97.462, 48731, 50000)"
193,88.44,"(97.528, 48764, 50000)"
194,88.59,"(97.514, 48757, 50000)"
195,88.46,"(97.606, 48803, 50000)"
196,88.41,"(97.686, 48843, 50000)"
197,88.44,"(97.684, 48842, 50000)"
198,88.36,"(97.738, 48869, 50000)"
199,88.54,"(97.74, 48870, 50000)"
