Epoch,test accuracy,training accuracy
0,19.44,"(15.572, 7786, 50000)"
1,23.58,"(22.034, 11017, 50000)"
2,26.39,"(25.174, 12587, 50000)"
3,33.98,"(28.582, 14291, 50000)"
4,35.26,"(32.462, 16231, 50000)"
5,35.63,"(34.718, 17359, 50000)"
6,41.77,"(37.036, 18518, 50000)"
7,43.43,"(38.976, 19488, 50000)"
8,41.14,"(40.558, 20279, 50000)"
9,46.27,"(41.218, 20609, 50000)"
10,38.12,"(42.0, 21000, 50000)"
11,46.1,"(43.398, 21699, 50000)"
12,46.94,"(43.444, 21722, 50000)"
13,48.05,"(44.298, 22149, 50000)"
14,39.48,"(45.214, 22607, 50000)"
15,46.83,"(45.168, 22584, 50000)"
16,45.64,"(46.152, 23076, 50000)"
17,49.23,"(47.238, 23619, 50000)"
18,48.57,"(47.368, 23684, 50000)"
19,50.43,"(47.798, 23899, 50000)"
20,49.44,"(48.012, 24006, 50000)"
21,49.4,"(47.988, 23994, 50000)"
22,49.97,"(48.458, 24229, 50000)"
23,50.84,"(48.3, 24150, 50000)"
24,50.96,"(48.978, 24489, 50000)"
25,51.48,"(49.064, 24532, 50000)"
26,50.2,"(49.51, 24755, 50000)"
27,50.0,"(49.918, 24959, 50000)"
28,51.17,"(49.79, 24895, 50000)"
