Epoch,training_time
0,28.11137342453003
1,24.952465057373047
2,24.909822940826416
3,24.950305938720703
4,25.268742084503174
5,25.399937868118286
6,25.081093072891235
7,25.503419160842896
8,25.266166925430298
9,25.189826250076294
10,25.465043783187866
11,24.71442174911499
12,24.824599266052246
13,24.968388080596924
14,25.43168544769287
15,25.066171169281006
16,25.299586057662964
17,24.857739686965942
18,25.06830668449402
19,24.761685609817505
20,24.953339338302612
21,24.9224853515625
22,24.895625114440918
23,25.139739990234375
24,25.018325328826904
25,25.210205078125
26,24.19736099243164
27,24.847973585128784
28,24.96294331550598
29,25.12929916381836
30,25.132474660873413
31,25.273119926452637
32,25.185341119766235
33,25.03287625312805
34,24.99485158920288
35,24.829180240631104
36,24.67734408378601
37,25.180826663970947
38,25.00931739807129
39,24.8614981174469
40,24.992177963256836
41,25.14020872116089
42,25.198559761047363
43,25.282066583633423
44,25.134122610092163
45,25.248695611953735
46,24.79736614227295
47,24.81031084060669
48,24.761770725250244
49,25.04068684577942
50,24.846561670303345
51,25.10356903076172
52,24.736740827560425
53,24.692140340805054
54,24.6949143409729
55,24.97474718093872
56,24.96255350112915
57,25.0821053981781
58,24.803600549697876
59,25.23351788520813
60,25.229437112808228
61,24.898389101028442
62,24.868762493133545
63,25.059900045394897
64,24.6176176071167
65,25.075244903564453
66,24.854989051818848
67,25.059133529663086
68,24.768463134765625
69,24.87641739845276
70,24.964401245117188
71,24.564784288406372
72,24.997177600860596
73,24.832070112228394
74,25.117838144302368
75,24.813395977020264
76,24.917385816574097
77,24.91387629508972
78,24.8852059841156
79,25.19709873199463
80,24.95180916786194
81,24.68642830848694
82,24.64811134338379
83,25.16918921470642
84,24.576927661895752
85,24.618300437927246
86,25.232486248016357
87,24.889230966567993
88,25.00510573387146
89,24.86924648284912
90,25.021588563919067
91,24.85054349899292
92,24.635372400283813
93,24.693544387817383
94,25.011857271194458
95,24.88208842277527
96,25.20998501777649
97,25.19850182533264
98,25.10712480545044
99,25.208860635757446
100,25.096771240234375
101,24.97618293762207
102,25.190173864364624
103,25.321256637573242
104,24.972756147384644
105,24.995463371276855
106,26.304437398910522
107,25.091437578201294
108,24.744123697280884
109,25.435625076293945
110,25.233402252197266
111,24.829814195632935
112,25.04956078529358
113,25.058979749679565
114,24.739818572998047
115,24.887355089187622
116,24.736717700958252
117,25.092503309249878
118,25.064802169799805
119,25.094356775283813
120,24.702157497406006
121,24.645039796829224
122,24.812930583953857
123,24.9782874584198
124,25.12227487564087
125,24.820217609405518
126,25.102733612060547
127,24.83533000946045
128,24.937115907669067
129,24.3097562789917
130,24.72277808189392
131,24.809490442276
132,24.953251600265503
133,24.459737539291382
134,25.18963122367859
135,24.590102434158325
136,25.04251456260681
137,24.615031719207764
138,25.06735396385193
139,24.65466022491455
140,24.96169948577881
141,24.988839149475098
142,24.761902570724487
143,24.61947774887085
144,25.050562381744385
145,25.210537433624268
146,24.86587619781494
147,24.439398765563965
148,24.7680983543396
149,25.017069339752197
150,25.09139657020569
151,25.094026565551758
152,24.768367528915405
153,25.092827796936035
154,24.5349063873291
155,25.055225133895874
156,25.8394193649292
157,25.04725694656372
158,24.76604962348938
159,24.901251554489136
160,25.00257182121277
161,25.04500722885132
162,24.764615297317505
163,24.85458254814148
164,25.367610931396484
165,24.890125513076782
166,25.06170630455017
167,24.756905555725098
168,24.787203550338745
169,24.863487482070923
170,24.818710803985596
171,24.468262910842896
172,24.85650944709778
173,24.92659282684326
174,25.021761417388916
175,24.52475881576538
176,25.261775016784668
177,25.44558620452881
178,24.9917573928833
179,25.231839179992676
180,25.01246190071106
181,24.80986976623535
182,24.778491258621216
183,24.888496160507202
184,24.811930656433105
185,24.849443435668945
186,25.31330442428589
187,25.096085786819458
188,25.152761697769165
189,25.152244091033936
190,24.82830023765564
191,24.88631558418274
192,24.909261226654053
193,25.2499680519104
194,25.469221115112305
195,25.24860644340515
196,25.47860813140869
197,25.201725482940674
198,25.073344230651855
199,25.018346786499023
