Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,0,0.9178755283355713,3.4074391805916093e-06,78.82,0.8445047736167908,3.4559282084956067e-06,77.8
0,4331471520.0,0.5165210366249084,2.500961272744462e-06,90.86,0.4547766149044037,2.637189481902169e-06,87.17
10,47646186720.0,0.1271120309829712,5.593823061644798e-06,96.22,0.14614544808864594,4.389084097056184e-06,91.96
20,90960901920.0,0.10870881378650665,6.2390263337874785e-06,96.32,0.14350169897079468,4.479270501178689e-06,92.1
30,134275617120.0,0.10210759937763214,5.494619472301565e-06,96.84,0.13442951440811157,5.097212124383077e-06,92.19
40,177590332320.0,0.08047645539045334,5.317908744473243e-06,96.98,0.12918740510940552,6.121744263509754e-06,92.45
50,220905047520.0,0.06568854302167892,7.183265552157536e-06,97.54,0.1312415599822998,7.02336865288089e-06,92.64
60,264219762720.0,0.06989915668964386,9.239508472091984e-06,97.28,0.13279187679290771,7.085379820637172e-06,92.62
70,307534477920.0,0.06993433833122253,8.473654816043563e-06,97.48,0.13139331340789795,7.408728379232343e-06,92.65
80,350849193120.0,0.06581076979637146,9.033308742800727e-06,97.74,0.13716377317905426,8.817353773338255e-06,92.82
90,394163908320.0,0.0590660460293293,9.271211638406385e-06,98.2,0.15045244991779327,9.840779057412874e-06,92.83
