Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,150232384.0,0.5943240523338318,2.70421992354386e-06,83.0,0.5642999410629272,3.0939231692173053e-06,81.86
0,4657203904.0,0.4028029441833496,3.062193627556553e-06,90.4,0.3745783567428589,2.951599981315667e-06,87.25
10,49726919104.0,0.17202430963516235,1.7360164292767877e-06,94.92,0.17993749678134918,1.704009832792508e-06,90.71
20,94796634304.0,0.16449885070323944,1.7150825897260802e-06,95.06,0.1710241436958313,1.6876065274118446e-06,90.68
30,139866349504.0,0.14848370850086212,1.6735630197217688e-06,94.86,0.15965154767036438,1.8080856989399763e-06,90.7
40,184936064704.0,0.12386772781610489,1.7743464013619814e-06,94.96,0.13493578135967255,2.615945049910806e-06,90.87
50,230005779904.0,0.10200634598731995,3.013335799550987e-06,95.54,0.12583374977111816,3.5339890018804e-06,91.07
60,275075495104.0,0.09870026260614395,3.5746479625231586e-06,95.62,0.12136558443307877,3.7746315229014726e-06,91.12
70,320145210304.0,0.09733755886554718,2.687868800421711e-06,95.58,0.11590057611465454,4.057186288264347e-06,91.14
80,365214925504.0,0.08849383145570755,4.3779859879578e-06,96.08,0.1182713657617569,5.439265805762261e-06,91.47
90,410284640704.0,0.07941236346960068,5.437447725853417e-06,96.06,0.11405579000711441,6.998140179348411e-06,91.54
