;name;train_acc;eval_acc
0;train-conv1;0.3583777777777778;0.3769
1;train-layer1-0-conv1;0.5905111111111111;0.6184
2;train-layer1-0-conv2;0.5949555555555556;0.6241
3;train-layer1-0-conv3;0.5936444444444444;0.6335
4;train-layer1-0-shortcut-0;0.6063555555555555;0.634
5;train-layer1-1-conv1;0.6221777777777778;0.6478
6;train-layer1-1-conv2;0.5156666666666667;0.5552
7;train-layer1-1-conv3;0.4726666666666667;0.4991
8;train-layer1-2-conv1;0.6609555555555555;0.6825
9;train-layer1-2-conv2;0.5994888888888888;0.6237
10;train-layer1-2-conv3;0.5363777777777777;0.5566
11;train-layer2-0-conv1;0.7296444444444444;0.7413
12;train-layer2-0-conv2;0.7740888888888889;0.7628
13;train-layer2-0-conv3;0.7828;0.7845
14;train-layer2-0-shortcut-0;0.7452888888888889;0.7391
15;train-layer2-1-conv1;0.8078222222222222;0.8008
16;train-layer2-1-conv2;0.7888222222222222;0.7904
17;train-layer2-1-conv3;0.7834444444444445;0.7904
18;train-layer2-2-conv1;0.8489111111111111;0.8273
19;train-layer2-2-conv2;0.8282;0.8189
20;train-layer2-2-conv3;0.8071333333333334;0.8041
21;train-layer2-3-conv1;0.8921555555555556;0.8614
22;train-layer2-3-conv2;0.8834;0.8524
23;train-layer2-3-conv3;0.8659111111111111;0.8419
24;train-layer3-0-conv1;0.9671111111111111;0.9035
25;train-layer3-0-conv2;0.9900888888888889;0.9154
26;train-layer3-0-conv3;0.9856888888888888;0.9194
27;train-layer3-0-shortcut-0;0.9387111111111112;0.8722
28;train-layer3-1-conv1;0.9820888888888889;0.9191
29;train-layer3-1-conv2;0.9508888888888889;0.8988
30;train-layer3-1-conv3;0.8949777777777778;0.851
31;train-layer3-2-conv1;0.9897777777777778;0.9234
32;train-layer3-2-conv2;0.9730666666666666;0.913
33;train-layer3-2-conv3;0.9491777777777778;0.8916
34;train-layer3-3-conv1;0.9943777777777778;0.928
35;train-layer3-3-conv2;0.9779111111111111;0.9161
36;train-layer3-3-conv3;0.9485111111111111;0.8912
37;train-layer3-4-conv1;0.9968222222222223;0.9313
38;train-layer3-4-conv2;0.9868222222222223;0.9195
39;train-layer3-4-conv3;0.9724;0.9003
40;train-layer3-5-conv1;0.9954888888888889;0.9276
41;train-layer3-5-conv2;0.9711777777777778;0.8906
42;train-layer3-5-conv3;0.9431333333333334;0.8612
43;train-layer4-0-conv1;0.9997777777777778;0.9386
44;train-layer4-0-conv2;0.9998;0.9406
45;train-layer4-0-conv3;0.9998;0.9401
46;train-layer4-0-shortcut-0;0.9990888888888889;0.9341
47;train-layer4-1-conv1;0.9998888888888889;0.9404
48;train-layer4-1-conv2;0.9883777777777778;0.9166
49;train-layer4-1-conv3;0.9798666666666667;0.9059
50;train-layer4-2-conv1;0.9994222222222222;0.9374
51;train-layer4-2-conv2;0.7182222222222222;0.6703
52;train-layer4-2-conv3;0.6645333333333333;0.6384
53;train-linear;0.9998888888888889;0.9417
