Name,Dense Accuracy,Pruned Accuracy
resnet50_dilation_max_pool_normal_cifar10_1783120752.2098763_rf_level_54_recording_dilation_max_pool_100_no_ffcv_test_acc_94.87.pth,94.87,94.87
resnet50_dilation_max_pool_normal_cifar10_1783121671.12909_rf_level_54_recording_dilation_max_pool_100_no_ffcv_test_acc_94.82.pth,94.82,94.8
resnet50_dilation_max_pool_normal_cifar10_1783120810.4892287_rf_level_54_recording_dilation_max_pool_100_no_ffcv_test_acc_94.51.pth,94.51,94.51
