Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Final test accuracy
0,1.7899258760107817,1.0897489892183287,2.131064690026954,1.5782934636118597,2.9596950808625335,1.7141172506738545,37.06199460916442,1.03,0.79,1.19,0.5,1.89,1.44,23.31,Acc@1 final output   56.25 ( 54.62)
1,2.0878958894878705,1.076061320754717,2.127905997304582,1.6067216981132075,3.1492166442048517,1.459316037735849,48.651238207547166,1.46,1.05,1.45,0.6,1.37,0.99,27.39,Acc@1 final output   56.25 ( 54.62)
2,2.4806266846361185,1.1834568733153639,2.2868935309973044,1.569870283018868,3.022868935309973,1.5088022237196765,50.861270215633425,1.13,0.46,0.49,0.5,0.52,0.5,29.1,Acc@1 final output   56.25 ( 54.62)
3,2.4027122641509435,1.1171243261455526,2.049991576819407,1.6256738544474394,3.016551549865229,1.7183288409703503,51.399300876010784,1.31,0.55,0.75,0.52,0.68,0.71,31.84,Acc@1 final output   56.25 ( 54.62)
4,2.524848382749326,1.2561068059299192,2.2774174528301887,1.7014824797843666,3.122894204851752,1.556182614555256,51.97418295148248,1.64,0.52,1.35,0.8,1.91,0.5,31.96,Acc@1 final output   56.25 ( 54.62)
5,2.2900522237196768,1.1150185309973046,2.059467654986523,1.4782681940700808,2.6722540431266846,1.3940363881401616,51.92469676549865,1.19,0.5,0.53,0.5,0.52,0.5,32.46,Acc@1 final output   56.25 ( 54.62)
6,2.550117924528302,1.164504716981132,2.0699966307277626,1.5372304582210243,2.9965464959568733,1.4024595687331536,51.97418295148248,1.37,0.51,0.73,0.69,0.82,1.67,29.47,Acc@1 final output   56.25 ( 54.62)
7,2.441669474393531,1.1855626684636118,2.0857900943396226,1.5888224393530996,2.92705525606469,1.4256233153638813,52.09105458221024,1.26,0.59,0.69,0.58,1.47,1.32,29.61,Acc@1 final output   56.25 ( 54.62)
8,2.4879969676549867,1.1497641509433962,1.9857648247978437,1.4772152964959568,2.609080188679245,1.467739218328841,52.052097371967655,2.14,0.99,0.9,0.73,1.41,1.01,28.38,Acc@1 final output   56.25 ( 54.62)
9,2.5290599730458223,1.1529228436657681,1.9331199460916442,1.463527628032345,2.834400269541779,1.458263140161725,52.336379716981135,1.46,0.61,0.8,0.66,1.8,1.09,32.62,Acc@1 final output   56.25 ( 54.62)
10,2.427981805929919,1.0697439353099731,2.131064690026954,1.4056182614555257,2.946007412398922,1.5066964285714286,52.14159366576819,1.33,0.53,1.3,0.87,1.26,0.99,31.52,Acc@1 final output   56.25 ( 54.62)
11,2.2942638140161726,1.091854784366577,1.8910040431266846,1.457210242587601,2.522742587601078,1.4972203504043127,51.8741576819407,1.28,0.74,0.67,0.51,1.15,1.05,32.45,Acc@1 final output   56.25 ( 54.62)
12,2.255306603773585,1.1234417115902966,2.0057698787061993,1.3392857142857142,2.9207378706199463,1.4930087601078168,52.28268194070081,1.53,0.5,0.89,0.84,1.34,0.94,30.39,Acc@1 final output   56.25 ( 54.62)
13,2.4922085579514826,1.2024090296495957,2.115271226415094,1.5372304582210243,2.91126179245283,1.3013814016172507,52.143699460916444,1.08,0.5,0.74,0.51,0.72,0.74,31.49,Acc@1 final output   56.25 ( 54.62)
14,2.4206115229110514,1.083431603773585,2.163704514824798,1.464580525606469,2.9059973045822103,1.5298601752021563,52.35427897574124,1.47,0.59,0.86,0.5,1.71,1.9,27.79,Acc@1 final output   56.25 ( 54.62)
