;name;train_acc;eval_acc
0;train-conv1;0.05386372488131454;0.0576
1;train-layer1-0-conv1_1x1;0.10606427436078275;0.1271
2;train-layer1-0-conv2_1x1;0.12231707702186338;0.1346
3;train-layer1-0-conv3_3x3;0.1231065590164107;0.1399
4;train-layer1-0-conv4_1x1;0.12972768134401413;0.1412
5;train-layer1-0-conv5_1x1;0.11800124211833808;0.1238
6;train-layer1-0-shortcut-0;0.16005431636122486;0.1828
7;train-layer2-0-conv1_1x1;0.27115022263392247;0.2779
8;train-layer2-0-conv2_1x1;0.2825924483415615;0.2888
9;train-layer2-0-conv3_3x3;0.30721376014484364;0.299
10;train-layer2-0-conv4_1x1;0.2997084179833472;0.2971
11;train-layer2-0-conv5_1x1;0.2993505194791524;0.2951
12;train-layer2-0-shortcut-0;0.22893925199212622;0.2181
13;train-layer3-0-conv1_1x1;0.35606690596743124;0.3412
14;train-layer3-0-conv2_1x1;0.34588785145106793;0.3348
15;train-layer3-0-conv3_3x3;0.3320350740534111;0.3357
16;train-layer3-0-conv4_1x1;0.3259402730555058;0.3284
17;train-layer3-0-conv5_1x1;0.316782281918757;0.3195
18;train-layer3-0-shortcut-0;0.2978978726091854;0.2625
19;train-layer3-1-conv1_1x1;0.35521426541332013;0.352
20;train-layer3-1-conv2_1x1;0.17473868145980484;0.1893
21;train-layer3-1-conv3_3x3;0.13583300876851334;0.1472
22;train-layer3-1-conv4_1x1;0.12314866472278656;0.1328
23;train-layer3-1-conv5_1x1;0.12192759923788671;0.1278
24;train-layer4-0-conv1_1x1;0.4121517068600722;0.3778
25;train-layer4-0-conv2_1x1;0.37717239128832936;0.3582
26;train-layer4-0-conv3_3x3;0.34108780092422025;0.3302
27;train-layer4-0-conv4_1x1;0.33686670386004064;0.3162
28;train-layer4-0-conv5_1x1;0.35996168380719795;0.3195
