Epoch,Prob 0 train accuracy,Prob 1 train accuracy,Prob 2 train accuracy,Prob 3 train accuracy,Prob 4 train accuracy,Prob 5 train accuracy,Prob 6 train accuracy,Prob 7 train accuracy,Prob 8 train accuracy,Prob 9 train accuracy,Prob 10 train accuracy,Prob 11 train accuracy,Prob 12 train accuracy,Prob 13 train accuracy,Prob 14 train accuracy,Prob 15 train accuracy,Prob 0 test accuracy,Prob 1 test accuracy,Prob 2 test accuracy,Prob 3 test accuracy,Prob 4 test accuracy,Prob 5 test accuracy,Prob 6 test accuracy,Prob 7 test accuracy,Prob 8 test accuracy,Prob 9 test accuracy,Prob 10 test accuracy,Prob 11 test accuracy,Prob 12 test accuracy,Prob 13 test accuracy,Prob 14 test accuracy,Prob 15 test accuracy,Final test accuracy
0,1.2852631578545821,1.410526315749319,0.86,1.1873684210526316,1.823157894736842,1.4926315789473685,1.7821052631578946,2.566315789473684,4.391578947368421,4.925263157854582,6.125263157894737,8.255789473603901,15.54842105255127,23.44842105231034,39.54631578947368,74.66842105263157,2.14,2.12,0.67,1.08,2.01,1.42,1.57,2.18,3.68,4.31,4.75,7.52,16.06,23.85,41.21,60.34,60.95
1,1.9494736842105262,1.9126315789473685,0.991578947368421,1.4526315789473685,2.174736842105263,1.6757894736842105,2.0431578947368423,2.8610526315789473,4.978947368421053,5.590526315789473,6.916842105263158,9.636842105223003,18.54842105255127,27.83684210494192,51.65368420924136,80.55894736777857,1.47,2.41,1.18,1.53,1.34,1.47,1.69,1.54,4.47,4.69,5.15,7.5,17.44,24.7,45.78,60.41,60.95
2,1.895789473644056,1.7789473683808978,0.9936842104861611,1.470526315749319,2.1463157894335296,1.7989473683808979,2.124210526275635,2.9147368420651083,5.122105262997276,5.831578947207802,7.243157894576223,9.986315789152446,18.517894736681487,28.214736842105264,52.8052631575735,80.4263157888312,1.32,2.03,0.64,0.96,1.89,1.66,1.45,1.57,4.17,4.55,4.59,7.37,13.2,20.31,41.08,60.41,60.95
3,1.9526315789473685,1.9389473684210525,0.8631578947368421,1.4021052631578947,1.9431578947368422,1.6368421052631579,1.9536842105263157,2.7778947368421054,4.638947368340744,5.373684210486161,6.439999999839381,9.064210525994552,17.674736842105265,27.197894736842105,51.61578947304174,80.56947368421052,1.46,2.46,0.56,0.99,2.68,1.12,2.1,2.58,5.57,7.06,7.97,11.27,17.99,29.92,45.13,59.87,60.95
4,1.9578947368421054,1.970526315749319,0.9168421052631579,1.5021052631578948,2.2410526315387926,1.8094736842105263,2.2778947368019504,3.027368420972322,5.063157894656532,5.82421052623548,6.838947368340743,9.78421052623548,18.651578947207803,28.10105263125771,52.63157894640471,80.46526315660978,2.89,2.49,1.08,1.52,1.42,0.85,2.3,3.17,4.17,5.56,7.14,9.11,19.49,28.5,46.07,60.07,60.95
5,1.9684210526315788,1.9378947368421053,0.9968421052631579,1.5936842105263158,2.343157894736842,1.9378947368421053,2.3610526315789473,3.1378947368421053,5.370526315789474,6.193684210486161,7.124210526275634,10.128421052591424,18.40842105255127,27.597894736681486,52.65368421020508,80.45473684082032,1.73,2.32,2.13,2.51,3.1,4.27,3.97,4.43,7.61,8.87,10.19,13.27,22.87,30.52,49.0,60.36,60.95
6,1.938947368380898,1.9378947368019506,0.9789473683808979,1.5084210525914243,2.2547368420651086,1.7599999999196907,2.231578947288112,2.970526315709164,5.1136842104460065,6.024210526315789,7.178947368340744,10.02842105247096,18.889473684210525,28.496842105102537,52.765263157252264,80.421052630294,1.53,2.4,1.1,1.69,1.37,1.84,2.71,2.53,4.43,6.02,7.02,11.44,17.5,26.25,44.35,59.9,60.95
7,1.7810526315789474,1.9578947368019506,0.9347368421052632,1.496842105263158,2.0884210525914244,1.790526315749319,2.1315789473282662,2.7473684210124767,5.0589473683407435,5.666315789393375,7.0673684210124765,9.731578947207803,18.783157894415606,28.250526315147,52.26736842041016,80.54631578818874,1.55,2.08,0.59,0.96,1.34,0.93,1.54,1.69,4.84,5.37,5.84,10.97,19.61,28.07,46.38,60.03,60.95
8,1.9389473684210525,1.9505263157894737,1.0442105263157895,1.6347368421052633,2.2305263157894735,1.9536842105263157,2.3421052631578947,3.0326315789473686,5.326315789473684,6.027368421052632,7.1284210526315785,10.130526315789474,18.453684210446006,27.823157894576223,52.5031578944156,80.470526315147,1.87,2.1,1.5,1.73,2.5,2.2,2.78,2.79,5.43,6.27,7.93,9.81,18.59,26.56,45.71,59.76,60.95
9,1.9378947368421053,1.8989473684210527,1.0073684210526315,1.4778947368421054,2.348421052591424,1.9136842105263159,2.3378947368019505,3.0610526315789475,5.147368421052631,5.874736842024954,7.024210526315789,9.806315789313066,18.407368420731395,27.824210526315788,52.730526315146996,80.63368420924137,1.99,2.19,1.54,1.66,2.83,2.65,3.22,2.91,5.7,6.55,8.34,9.88,19.26,27.84,47.74,60.34,60.95
10,2.0010526315789474,1.9010526315387926,0.9831578947368421,1.5621052631578947,2.033684210526316,1.8305263157894738,2.256842105263158,2.9063157894736844,4.96421052623548,5.625263157854582,6.879999999839381,9.643157894576223,18.541052631418328,28.386315789152448,52.47263157894737,80.54736841976768,1.94,1.86,1.13,1.67,2.04,2.05,2.56,3.61,6.87,7.21,8.73,12.83,21.87,31.22,48.05,59.89,60.95
11,1.92,1.823157894736842,0.9052631578947369,1.436842105263158,2.1136842105263156,1.7,2.1178947368421053,2.745263157894737,4.91578947368421,5.638947368421053,6.713684210526316,9.517894736761797,18.11157894704718,27.237894736520868,51.85999999903629,80.32736842105263,1.99,2.2,1.22,1.86,1.85,1.61,2.14,2.6,5.07,6.38,7.03,13.02,20.86,30.28,47.93,60.11,60.95
12,2.0105263157894737,1.888421052631579,0.9652631578947368,1.5936842105263158,2.1452631578947368,1.8494736842105264,2.2294736842105265,2.9726315789473685,5.0589473683407435,5.869473684130217,6.874736842024954,9.909473684210527,18.42842105231034,27.637894736842107,51.74210526283666,80.421052630294,1.78,2.43,1.04,2.69,3.0,3.35,4.42,4.66,6.93,8.3,8.49,12.85,20.34,28.64,45.63,60.53,60.95
13,2.0231578947368423,1.9052631578947368,1.0210526315789474,1.54,2.228421052631579,1.8494736842105264,2.2326315789473683,3.0410526315789475,5.153684210486161,5.861052631538793,6.82842105255127,9.601052631578947,18.35684210526316,27.731578947047183,51.759999999357525,80.4,1.57,1.63,0.54,1.1,1.83,1.16,1.59,2.11,3.91,4.78,5.03,9.76,17.61,26.13,44.63,60.4,60.95
14,1.9621052631578948,1.9757894736842105,0.9473684210526315,1.4189473684210527,2.1094736842105264,1.6726315789473685,2.093684210486161,2.732631578867059,4.7094736841302165,5.417894736842105,6.294736842105263,9.207368421052632,18.28842105247096,27.318947368260435,51.95789473619963,80.40736842008891,2.06,1.56,0.95,1.63,2.62,1.39,2.49,3.25,5.78,6.08,7.47,9.51,17.87,25.95,43.82,59.9,60.95
15,1.9863157894736843,1.8210526315789475,1.0157894736842106,1.5473684210526315,2.1610526315789476,1.8063157894736843,2.1757894736842105,3.0063157894335295,5.269473684210526,5.936842105263158,7.066315789152447,10.128421052631579,18.577894736681486,28.00526315789474,51.79157894672595,80.39684210526316,1.73,2.12,1.6,1.92,1.93,2.71,2.35,3.73,6.05,7.09,7.87,11.3,19.42,28.73,47.82,60.36,60.95
16,1.9442105263157894,1.7757894736842106,1.0305263157894737,1.5115789473684211,2.123157894736842,1.8147368421052632,2.256842105263158,3.058947368380898,5.385263157854582,5.98,7.1957894736842105,10.072631578947368,19.38421052623548,28.59263157886706,53.36631578947368,80.51789473619964,2.08,1.83,1.36,1.73,2.32,1.43,2.03,3.83,5.22,7.38,7.19,10.7,17.75,26.75,46.32,60.26,60.95
17,2.071578947328266,1.951578947368421,0.9263157894736842,1.6389473684210527,2.183157894736842,1.82,2.2178947368421054,3.0463157894335295,5.2757894736039015,5.953684210446006,7.152631578907214,9.947368421052632,19.045263157573498,28.15263157878675,52.204210525994554,80.34947368356805,1.62,2.46,1.36,1.92,2.28,2.1,3.02,3.71,6.1,7.62,9.07,11.71,18.72,25.62,45.44,60.27,60.95
18,1.9463157894335295,1.9199999999196906,0.8978947368019505,1.4778947368421054,2.0578947368019507,1.7452631578144275,2.1347368420651085,2.9926315789072135,5.110526315709164,5.8178947368421055,7.236842105223003,10.070526315628856,19.139999999839382,28.68105263125771,52.90210526251542,80.32947368356805,1.95,2.06,1.42,1.88,2.28,1.84,2.53,3.75,4.84,6.03,7.42,10.25,18.58,28.86,45.92,60.45,60.95
19,1.8378947368421052,1.914736842105263,0.9494736842105264,1.5294736842105263,2.1294736841703714,1.810526315749319,2.2031578946966874,2.9642105263157896,5.023157894696688,5.827368420972322,6.494736842024953,9.676842105182848,17.709473684049907,26.826315789473686,50.98,80.43368420988384,1.59,2.07,1.12,1.44,2.0,1.71,1.88,3.09,5.89,6.21,8.6,9.41,17.32,24.8,44.88,60.34,60.95
20,1.9252631578947368,1.8378947368421052,0.9821052631578947,1.5557894736842106,2.1336842105263156,1.776842105263158,2.186315789473684,2.873684210526316,5.044210526275635,5.842105263157895,7.016842105263158,9.796842105263158,18.477894736842106,28.178947368099816,52.11789473619963,80.47368420988384,1.83,1.96,1.23,2.13,2.31,2.4,2.89,3.78,6.11,6.92,9.03,11.47,20.04,27.96,47.22,60.33,60.95
21,1.9536842104861611,1.890526315749319,1.0273684210526315,1.7073684210526316,2.3610526315789473,2.0094736841703718,2.510526315749319,3.2378947368019504,5.307368420972322,6.218947368380898,7.003157894656533,10.19263157886706,18.88105263125771,28.138947368099814,52.43578947239926,80.26947368421052,1.28,2.6,1.13,1.51,1.34,1.56,2.03,2.83,4.95,6.62,7.69,9.62,20.47,29.79,45.92,59.98,60.95
22,1.9105263157894736,1.8189473684210526,0.9452631578947368,1.4157894736842105,2.0431578947368423,1.6147368421052632,2.0094736842105263,2.6389473683808977,4.825263157894737,5.456842105223004,6.615789473644056,8.995789473603901,17.92421052615517,26.873684210365695,50.6336842095626,80.56315789409436,1.38,2.7,1.1,1.34,1.4,1.76,1.81,1.7,4.66,5.48,6.1,10.25,18.75,28.14,43.71,59.9,60.95
