Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,131627392.0,0.5673781633377075,2.904315863361262e-07,33.56,0.5676268339157104,3.0860726951686956e-07,33.56
0,4080449152.0,0.5593116283416748,2.0798886168904573e-07,34.48,0.5601146817207336,3.0912559623175184e-07,34.35
10,43568666752.0,0.4437238872051239,2.461819406107679e-07,57.16,0.45118704438209534,3.9932251638674643e-07,57.17
20,83056884352.0,0.4242052435874939,2.6703617095336085e-07,62.76,0.4326106011867523,4.1999209088317e-07,62.02
30,122545101952.0,0.39097893238067627,3.265457451107068e-07,71.3,0.40145987272262573,4.6836527189952903e-07,69.23
40,162033319552.0,0.3053751587867737,8.430191655861563e-07,81.48,0.3303816020488739,9.218931040777534e-07,79.1
50,201521537152.0,0.2887573838233948,2.6239094950142317e-06,86.18,0.32094207406044006,2.3647908165003173e-06,82.59
60,241009754752.0,0.2882966101169586,2.0701063476735726e-06,86.08,0.31946003437042236,2.8263295916985953e-06,82.91
70,280497972352.0,0.28238487243652344,3.103335984633304e-06,86.22,0.3158177137374878,3.7276026887411717e-06,83.39
80,319986189952.0,0.2628222107887268,1.0263361218676437e-05,85.68,0.29057130217552185,1.0336372724850662e-05,83.42
90,359474407552.0,0.22231702506542206,1.5465768228750676e-05,85.18,0.26946911215782166,1.9705246813828126e-05,83.29
