Name,Dense Accuracy,GMP Acc layer4.2.conv3-layer4.2.conv3,RANDOM Acc layer4.2.conv3-layer4.2.conv3,GMP Acc layer4.1.conv3-layer4.2.conv3,RANDOM Acc layer4.1.conv3-layer4.2.conv3,GMP Acc layer4.0.shortcut.0-layer4.2.conv3,RANDOM Acc layer4.0.shortcut.0-layer4.2.conv3,GMP Acc layer4.0.conv3-layer4.2.conv3,RANDOM Acc layer4.0.conv3-layer4.2.conv3,GMP Acc layer3.5.conv3-layer4.2.conv3,RANDOM Acc layer3.5.conv3-layer4.2.conv3,GMP Acc layer3.4.conv3-layer4.2.conv3,RANDOM Acc layer3.4.conv3-layer4.2.conv3,GMP Acc layer3.3.conv3-layer4.2.conv3,RANDOM Acc layer3.3.conv3-layer4.2.conv3,GMP Acc layer3.2.conv3-layer4.2.conv3,RANDOM Acc layer3.2.conv3-layer4.2.conv3,GMP Acc layer3.1.conv3-layer4.2.conv3,RANDOM Acc layer3.1.conv3-layer4.2.conv3,GMP Acc layer3.0.shortcut.0-layer4.2.conv3,RANDOM Acc layer3.0.shortcut.0-layer4.2.conv3,GMP Acc layer3.0.conv3-layer4.2.conv3,RANDOM Acc layer3.0.conv3-layer4.2.conv3,GMP Acc layer2.3.conv3-layer4.2.conv3,RANDOM Acc layer2.3.conv3-layer4.2.conv3,GMP Acc layer2.2.conv3-layer4.2.conv3,RANDOM Acc layer2.2.conv3-layer4.2.conv3,GMP Acc layer2.1.conv3-layer4.2.conv3,RANDOM Acc layer2.1.conv3-layer4.2.conv3,GMP Acc layer2.0.shortcut.0-layer4.2.conv3,RANDOM Acc layer2.0.shortcut.0-layer4.2.conv3,GMP Acc layer2.0.conv3-layer4.2.conv3,RANDOM Acc layer2.0.conv3-layer4.2.conv3,GMP Acc layer1.2.conv3-layer4.2.conv3,RANDOM Acc layer1.2.conv3-layer4.2.conv3,GMP Acc layer1.1.conv3-layer4.2.conv3,RANDOM Acc layer1.1.conv3-layer4.2.conv3,GMP Acc layer1.0.shortcut.0-layer4.2.conv3,RANDOM Acc layer1.0.shortcut.0-layer4.2.conv3,GMP Acc layer1.0.conv3-layer4.2.conv3,RANDOM Acc layer1.0.conv3-layer4.2.conv3
resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth,90.42,90.42,90.41,90.42,90.43,90.38,71.89,90.37,39.64,90.34,38.3,90.37,39.91,90.43,29.66,90.44,19.52,90.44,15.1,90.23,10.0,90.17,10.0,90.22,10.0,90.09,10.0,90.01,10.0,89.63,10.0,89.4,10.0,89.37,10.0,89.32,10.0,89.27,10.0,89.23,10.0
resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.09.pth,90.09,90.09,90.09,90.09,90.09,90.19,85.26,90.08,50.13,90.07,43.36,90.01,38.47,90.05,40.86,90.05,36.84,90.07,24.88,89.95,19.44,89.85,18.1,89.75,17.29,89.68,16.54,89.56,14.59,89.09,10.0,88.83,10.0,88.76,10.0,88.72,10.0,88.64,10.0,88.58,10.0
resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.4.pth,90.4,90.4,90.4,90.4,90.4,90.31,47.73,90.31,10.42,90.3,11.02,90.31,10.71,90.33,10.01,90.36,10.0,90.34,10.0,90.14,10.0,89.97,10.0,89.98,10.0,89.79,10.0,89.67,10.0,89.23,10.0,88.77,10.0,88.66,10.0,88.6,10.0,88.52,10.0,88.46,10.0
