Name,gmp_Accuracy_pruning_from_features.49_until_features.49,random_Accuracy_pruning_from_features.49_until_features.49,gmp_Accuracy_pruning_from_features.46_until_features.49,random_Accuracy_pruning_from_features.46_until_features.49,gmp_Accuracy_pruning_from_features.43_until_features.49,random_Accuracy_pruning_from_features.43_until_features.49,gmp_Accuracy_pruning_from_features.40_until_features.49,random_Accuracy_pruning_from_features.40_until_features.49,gmp_Accuracy_pruning_from_features.37_until_features.49,random_Accuracy_pruning_from_features.37_until_features.49,gmp_Accuracy_pruning_from_features.34_until_features.49,random_Accuracy_pruning_from_features.34_until_features.49,gmp_Accuracy_pruning_from_features.31_until_features.49,random_Accuracy_pruning_from_features.31_until_features.49,gmp_Accuracy_pruning_from_features.28_until_features.49,random_Accuracy_pruning_from_features.28_until_features.49,gmp_Accuracy_pruning_from_features.24_until_features.49,random_Accuracy_pruning_from_features.24_until_features.49,gmp_Accuracy_pruning_from_features.21_until_features.49,random_Accuracy_pruning_from_features.21_until_features.49,gmp_Accuracy_pruning_from_features.18_until_features.49,random_Accuracy_pruning_from_features.18_until_features.49,gmp_Accuracy_pruning_from_features.15_until_features.49,random_Accuracy_pruning_from_features.15_until_features.49,gmp_Accuracy_pruning_from_features.11_until_features.49,random_Accuracy_pruning_from_features.11_until_features.49,gmp_Accuracy_pruning_from_features.8_until_features.49,random_Accuracy_pruning_from_features.8_until_features.49
vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth,88.24,16.24,88.24,10.0,88.24,10.0,88.24,10.0,88.24,10.0,88.24,10.0,88.24,10.0,88.24,10.0,88.24,10.0,88.24,10.0,88.24,10.0,88.26,10.0,88.26,10.0,88.19,10.0
vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth,88.13,10.0,88.13,10.0,88.13,10.0,88.13,10.0,88.13,10.0,88.13,10.0,88.13,10.0,88.13,10.0,88.13,10.0,88.13,10.0,88.12,10.0,88.05,10.0,88.08,10.0,88.07,10.0
vgg19_normal_cifar10_1726773352.418043_rf_level_3_recording_200_no_ffcv_test_acc_88.14.pth,88.14,10.0,88.14,10.0,88.14,10.0,88.14,10.0,88.14,10.0,88.14,10.0,88.14,10.0,88.14,10.0,88.14,10.0,88.1,10.0,88.1,10.0,88.11,10.0,88.14,10.0,88.18,10.0
vgg19_normal_cifar10_1726773361.4566135_rf_level_3_recording_200_no_ffcv_test_acc_88.31.pth,88.31,10.4,88.31,10.0,88.31,10.0,88.31,10.0,88.31,10.0,88.31,10.0,88.31,10.0,88.31,10.0,88.31,10.0,88.32,10.0,88.2,10.0,88.24,10.0,88.23,10.0,88.2,10.0
vgg19_normal_cifar10_1726773360.762569_rf_level_3_recording_200_no_ffcv_test_acc_88.15.pth,88.15,18.73,88.16,10.0,88.15,10.0,88.15,10.0,88.15,10.0,88.15,10.0,88.15,10.0,88.15,10.0,88.15,10.0,88.15,10.0,88.11,10.0,88.17,10.0,88.09,10.0,88.09,10.0
vgg19_normal_cifar10_1726779576.907169_rf_level_3_recording_200_no_ffcv_test_acc_87.92.pth,87.92,10.0,87.92,10.0,87.92,10.0,87.92,10.0,87.92,10.0,87.92,10.0,87.92,10.0,87.92,10.0,87.92,10.0,87.92,10.0,87.94,10.0,87.93,10.0,87.94,10.0,87.93,10.0
vgg19_normal_cifar10_1725639932.8630962_rf_level_3_recording_200_no_ffcv_test_acc_88.2.pth,88.2,10.0,88.2,10.0,88.2,10.0,88.2,10.0,88.2,10.0,88.2,10.0,88.2,10.0,88.2,10.0,88.2,10.0,88.2,10.0,88.16,10.0,88.15,10.0,88.19,10.0,88.14,10.0
vgg19_normal_cifar10_1726779579.6676958_rf_level_3_recording_200_no_ffcv_test_acc_83.43.pth,83.43,10.0,83.43,11.43,83.43,10.0,83.43,10.0,83.43,10.0,83.43,10.0,83.43,10.0,83.43,10.0,83.43,10.0,83.43,10.0,83.4,10.0,83.34,10.0,83.31,10.0,83.33,10.0
