Name,gmp_Accuracy_pruning_from_features.49_until_features.49,random_Accuracy_pruning_from_features.49_until_features.49,gmp_Accuracy_pruning_from_features.46_until_features.49,random_Accuracy_pruning_from_features.46_until_features.49,gmp_Accuracy_pruning_from_features.43_until_features.49,random_Accuracy_pruning_from_features.43_until_features.49,gmp_Accuracy_pruning_from_features.40_until_features.49,random_Accuracy_pruning_from_features.40_until_features.49,gmp_Accuracy_pruning_from_features.37_until_features.49,random_Accuracy_pruning_from_features.37_until_features.49,gmp_Accuracy_pruning_from_features.34_until_features.49,random_Accuracy_pruning_from_features.34_until_features.49,gmp_Accuracy_pruning_from_features.31_until_features.49,random_Accuracy_pruning_from_features.31_until_features.49,gmp_Accuracy_pruning_from_features.28_until_features.49,random_Accuracy_pruning_from_features.28_until_features.49,gmp_Accuracy_pruning_from_features.24_until_features.49,random_Accuracy_pruning_from_features.24_until_features.49,gmp_Accuracy_pruning_from_features.21_until_features.49,random_Accuracy_pruning_from_features.21_until_features.49,gmp_Accuracy_pruning_from_features.18_until_features.49,random_Accuracy_pruning_from_features.18_until_features.49,gmp_Accuracy_pruning_from_features.15_until_features.49,random_Accuracy_pruning_from_features.15_until_features.49,gmp_Accuracy_pruning_from_features.11_until_features.49,random_Accuracy_pruning_from_features.11_until_features.49,gmp_Accuracy_pruning_from_features.8_until_features.49,random_Accuracy_pruning_from_features.8_until_features.49
vgg19_normal_cifar10_seed.0_rf_level_4_recording_200_no_ffcv_test_acc_86.12.pth,86.12,17.57,86.12,10.0,86.12,10.0,86.12,10.0,86.12,10.0,86.12,10.0,86.12,10.0,86.12,10.0,86.12,10.0,86.12,10.0,86.1,10.0,85.91,10.0,85.85,10.0,85.84,10.0
vgg19_normal_cifar10_1726773382.9293978_rf_level_4_recording_200_no_ffcv_test_acc_86.0.pth,86.0,14.42,86.0,10.0,86.0,10.0,86.0,10.0,86.0,10.0,86.0,10.0,86.0,10.0,86.0,10.0,86.0,10.0,86.0,10.0,85.98,10.0,85.97,10.0,85.98,10.0,85.98,10.0
vgg19_normal_cifar10_1726773361.111958_rf_level_4_recording_200_no_ffcv_test_acc_85.93.pth,85.93,15.48,85.93,10.0,85.93,10.0,85.93,10.0,85.93,10.0,85.93,10.0,85.93,10.0,85.93,10.0,85.93,10.0,85.92,10.0,85.92,10.0,85.91,10.0,85.83,10.0,85.81,10.0
vgg19_normal_cifar10_1726773361.4550412_rf_level_4_recording_200_no_ffcv_test_acc_86.44.pth,86.44,10.0,86.44,10.0,86.44,10.0,86.44,10.0,86.44,10.0,86.44,10.0,86.44,10.0,86.44,10.0,86.44,10.0,86.44,10.0,86.44,10.0,86.39,10.0,86.33,10.0,86.29,10.0
vgg19_normal_cifar10_1725640015.7435527_rf_level_4_recording_200_no_ffcv_test_acc_86.46.pth,86.46,11.31,86.46,10.0,86.46,10.0,86.46,10.0,86.46,10.0,86.46,10.0,86.46,10.0,86.46,10.0,86.46,10.0,86.46,10.0,86.48,10.0,86.48,10.0,86.47,10.0,86.45,10.0
