pr_from_features.49_to_features.49,layer_names,pr_from_features.46_to_features.49,pr_from_features.43_to_features.49,pr_from_features.40_to_features.49,pr_from_features.37_to_features.49,pr_from_features.34_to_features.49,pr_from_features.31_to_features.49,pr_from_features.28_to_features.49,pr_from_features.24_to_features.49,pr_from_features.21_to_features.49,pr_from_features.18_to_features.49,pr_from_features.15_to_features.49,pr_from_features.11_to_features.49,pr_from_features.8_to_features.49
0.0,features.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076524526
0.0,features.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10443793,0.107543945
0.0,features.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10791694,0.1151903,0.11920166
0.0,features.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15221828,0.1784634,0.19410197,0.20295037
0.0,features.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21366712,0.2853292,0.33364698,0.3612654,0.3765564
0.0,features.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36817086,0.43891397,0.52956647,0.5834859,0.61202157,0.6271718
0.0,features.28,0.0,0.0,0.0,0.0,0.0,0.0,0.6444092,0.6972945,0.7630412,0.83155656,0.86501735,0.88110095,0.88906693
0.0,features.31,0.0,0.0,0.0,0.0,0.0,0.8513264,0.8796857,0.90361106,0.9309739,0.95614624,0.9670974,0.9719751,0.9743118
0.0,features.34,0.0,0.0,0.0,0.0,0.9561484,0.9592056,0.96587455,0.97153556,0.9782028,0.98473233,0.9877837,0.98918027,0.9898665
0.0,features.37,0.0,0.0,0.0,0.9789412,0.97687405,0.97855675,0.9820502,0.9849972,0.98844653,0.99172044,0.9932145,0.99393845,0.9942962
0.0,features.40,0.0,0.0,0.9739342,0.96882373,0.96530277,0.9681909,0.97394985,0.9787178,0.9840224,0.9889039,0.9911164,0.9921019,0.9925876
0.0,features.43,0.0,0.9501203,0.9370418,0.92368656,0.9142617,0.9219288,0.937077,0.94933194,0.9627537,0.97492003,0.9802348,0.982694,0.9838986
0.0,features.46,0.9139688,0.89238316,0.8661622,0.84006333,0.82231647,0.83673733,0.866216,0.89076996,0.9186948,0.944497,0.9562018,0.961494,0.9641567
0.89999986,features.49,0.88603127,0.8574965,0.82286197,0.7884852,0.7650964,0.7840542,0.8229421,0.8553467,0.89223987,0.92652345,0.9419543,0.94904244,0.95254135
0.0,classifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
