Name,Dense Accuracy,GMP Acc layer4.2.conv3-layer4.2.conv3,RANDOM Acc layer4.2.conv3-layer4.2.conv3,GMP Acc layer4.1.conv3-layer4.2.conv3,RANDOM Acc layer4.1.conv3-layer4.2.conv3,GMP Acc layer4.0.shortcut.0-layer4.2.conv3,RANDOM Acc layer4.0.shortcut.0-layer4.2.conv3,GMP Acc layer4.0.conv3-layer4.2.conv3,RANDOM Acc layer4.0.conv3-layer4.2.conv3,GMP Acc layer3.5.conv3-layer4.2.conv3,RANDOM Acc layer3.5.conv3-layer4.2.conv3,GMP Acc layer3.4.conv3-layer4.2.conv3,RANDOM Acc layer3.4.conv3-layer4.2.conv3,GMP Acc layer3.3.conv3-layer4.2.conv3,RANDOM Acc layer3.3.conv3-layer4.2.conv3,GMP Acc layer3.2.conv3-layer4.2.conv3,RANDOM Acc layer3.2.conv3-layer4.2.conv3,GMP Acc layer3.1.conv3-layer4.2.conv3,RANDOM Acc layer3.1.conv3-layer4.2.conv3,GMP Acc layer3.0.shortcut.0-layer4.2.conv3,RANDOM Acc layer3.0.shortcut.0-layer4.2.conv3,GMP Acc layer3.0.conv3-layer4.2.conv3,RANDOM Acc layer3.0.conv3-layer4.2.conv3,GMP Acc layer2.3.conv3-layer4.2.conv3,RANDOM Acc layer2.3.conv3-layer4.2.conv3,GMP Acc layer2.2.conv3-layer4.2.conv3,RANDOM Acc layer2.2.conv3-layer4.2.conv3,GMP Acc layer2.1.conv3-layer4.2.conv3,RANDOM Acc layer2.1.conv3-layer4.2.conv3,GMP Acc layer2.0.shortcut.0-layer4.2.conv3,RANDOM Acc layer2.0.shortcut.0-layer4.2.conv3,GMP Acc layer2.0.conv3-layer4.2.conv3,RANDOM Acc layer2.0.conv3-layer4.2.conv3,GMP Acc layer1.2.conv3-layer4.2.conv3,RANDOM Acc layer1.2.conv3-layer4.2.conv3,GMP Acc layer1.1.conv3-layer4.2.conv3,RANDOM Acc layer1.1.conv3-layer4.2.conv3,GMP Acc layer1.0.shortcut.0-layer4.2.conv3,RANDOM Acc layer1.0.shortcut.0-layer4.2.conv3,GMP Acc layer1.0.conv3-layer4.2.conv3,RANDOM Acc layer1.0.conv3-layer4.2.conv3
resnet50_normal_cifar10_1726773352.390683_rf_level_4_recording_200_no_ffcv_test_acc_90.4.pth,90.4,90.4,90.4,90.4,90.4,90.38,85.27,90.37,54.9,90.4,53.01,90.36,36.01,90.38,30.66,90.39,28.39,90.38,18.91,90.34,10.73,90.27,10.08,90.27,10.0,90.25,10.0,90.27,10.0,90.19,10.0,90.11,10.0,90.13,10.0,90.11,10.0,90.13,10.0,90.13,10.0
resnet50_normal_cifar10_1726773352.3712664_rf_level_4_recording_200_no_ffcv_test_acc_90.69.pth,90.69,90.69,90.69,90.69,90.69,90.67,88.14,90.59,52.08,90.61,48.27,90.61,46.4,90.62,38.31,90.63,38.27,90.62,37.2,90.57,29.05,90.5,27.33,90.51,26.92,90.48,26.16,90.45,25.21,90.33,24.58,90.31,19.8,90.32,19.54,90.33,19.68,90.31,17.43,90.29,13.38
resnet50_normal_cifar10_1726773352.2506745_rf_level_4_recording_200_no_ffcv_test_acc_90.39.pth,90.39,90.39,90.39,90.39,90.42,90.45,62.26,90.49,34.11,90.48,31.84,90.48,26.69,90.47,27.02,90.45,12.27,90.44,19.78,90.46,10.0,90.33,10.0,90.34,10.0,90.33,10.0,90.32,10.0,90.24,10.0,90.09,10.0,90.05,10.0,90.07,10.0,90.04,10.0,90.11,10.0
resnet50_normal_cifar10_1726248344.4095678_rf_level_4_recording_200_no_ffcv_test_acc_90.65.pth,90.65,90.65,90.65,90.65,90.65,90.6,80.35,90.59,37.07,90.59,33.9,90.57,26.55,90.6,27.5,90.6,28.04,90.62,24.78,90.55,10.12,90.52,10.0,90.52,10.0,90.48,10.0,90.49,10.0,90.54,10.0,90.56,10.0,90.57,10.0,90.61,10.0,90.59,10.0,90.55,10.0
resnet50_normal_cifar10_seed.0_rf_level_4_recording_200_no_ffcv_test_acc_90.91.pth,90.91,90.91,90.91,90.91,90.91,90.9,81.1,90.91,67.01,90.91,72.64,90.91,62.57,90.91,60.02,90.91,54.71,90.91,38.82,90.9,20.0,90.88,19.86,90.86,19.65,90.85,19.77,90.87,19.84,90.85,19.42,90.82,18.79,90.82,19.69,90.78,14.93,90.84,10.0,90.82,9.72
