Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.6,94.96,94.9,94.91,95.1,0.029411830008029938,95.05,95.1
0.6,94.96,95.04,94.92,95.1,0.02949771098792553,95.12,95.1
0.6,94.96,94.91,94.92,95.1,0.02942666783928871,95.0,95.1
0.6,94.96,94.91,95.02,95.1,0.029433470219373703,95.06,95.1
0.6,94.96,94.95,94.83,95.1,0.029384959489107132,95.02,95.1
0.6,94.96,94.92,94.97,95.1,0.029432108625769615,94.98,95.1
0.6,94.96,94.91,94.92,95.1,0.029470501467585564,94.98,95.1
0.6,94.96,95.05,94.8,95.1,0.029479386284947395,95.12,95.1
0.6,94.96,94.95,94.77,95.1,0.029406005516648293,95.12,95.1
0.6,94.96,94.89,94.87,95.1,0.02946539968252182,95.02,95.1
