Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.8,90.05,91.29,94.57,95.25,0.4824236035346985,95.24,95.4
0.8,90.05,91.29,94.56,95.24,0.48243409395217896,95.31,95.4
0.8,90.05,91.05,94.56,95.25,0.4823545217514038,95.3,95.4
0.8,90.05,91.63,94.56,95.24,0.4824565649032593,95.45,95.4
0.8,90.05,91.41,94.5,95.23,0.4824739098548889,95.33,95.4
0.8,90.05,91.36,94.51,95.25,0.482326865196228,95.28,95.4
0.8,90.05,91.3,94.47,95.25,0.48231005668640137,95.39,95.4
0.8,90.05,90.9,94.55,95.25,0.48241591453552246,95.28,95.4
0.8,90.05,91.28,94.52,95.24,0.48246094584465027,95.32,95.4
0.8,90.05,91.56,94.47,95.25,0.48231908679008484,95.33,95.4
