Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.5,71.47,70.32,1.0,71.43,0.0022779260762035847,70.66,71.43,1.0,1.0,0.9487264752388
0.5,71.47,70.7,1.0,71.43,0.002314019715413451,71.03,71.43,1.0,1.0,0.9486778378486633
0.5,71.47,70.49,1.0,71.43,0.0022969436831772327,70.67,71.43,1.0,1.0,0.9487312436103821
0.5,71.47,70.51,1.0,71.43,0.002281211782246828,70.68,71.43,1.0,1.0,0.9487264752388
0.5,71.47,70.58,1.0,71.43,0.0022949024569243193,70.79,71.43,1.0,1.0,0.948695957660675
0.5,71.47,70.76,1.0,71.43,0.002297142753377557,70.96,71.43,1.0,1.0,0.9487360119819641
0.5,71.47,70.72,1.0,71.43,0.0022880821488797665,70.98,71.43,1.0,1.0,0.9487242698669434
0.5,71.47,70.1,1.0,71.43,0.0022978398483246565,70.47,71.43,1.0,1.0,0.948641836643219
0.5,71.47,70.46,1.0,71.43,0.0023035150952637196,70.61,71.43,1.0,1.0,0.9486889839172363
0.5,71.47,70.83,1.0,71.43,0.0023234786931425333,70.98,71.43,1.0,1.0,0.948737382888794
