Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.8,93.56,93.26,10.0,93.66,0.16693751513957977,93.5,93.66,10.0,17.56,0.9786664247512817
0.8,93.56,93.08,10.0,93.66,0.1668822318315506,93.56,93.66,10.0,17.71,0.9786801338195801
0.8,93.56,93.32,10.0,93.66,0.16693687438964844,93.54,93.66,10.0,17.6,0.9786603450775146
0.8,93.56,93.22,10.0,93.66,0.16679435968399048,93.68,93.66,10.0,17.65,0.9786726236343384
0.8,93.56,93.1,10.0,93.66,0.16695138812065125,93.62,93.66,10.0,17.56,0.9786860942840576
0.8,93.56,93.22,10.0,93.66,0.1668647676706314,93.63,93.66,10.0,17.72,0.9786792397499084
0.8,93.56,93.07,10.0,93.66,0.16697575151920319,93.57,93.66,10.0,17.26,0.9787009954452515
0.8,93.56,93.19,10.0,93.66,0.16693483293056488,93.58,93.66,10.0,17.23,0.9787014722824097
0.8,93.56,93.13,10.0,93.66,0.1669045388698578,93.64,93.66,10.0,17.56,0.9786860942840576
0.8,93.56,93.28,10.0,93.66,0.16686861217021942,93.56,93.66,10.0,17.63,0.9786708354949951
