Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.9,4.44,4.63,4.68,58.54,0.7643538117408752,76.69,76.93
0.9,4.44,4.66,4.7,58.48,0.764432966709137,76.98,76.93
0.9,4.44,3.46,5.01,58.56,0.7642914056777954,76.81,76.93
0.9,4.44,5.19,4.94,58.47,0.7643913626670837,76.76,76.93
0.9,4.44,4.48,4.92,58.47,0.7643994092941284,76.95,76.93
0.9,4.44,4.69,4.51,58.54,0.7643060088157654,76.85,76.93
0.9,4.44,5.0,4.28,58.53,0.7643423676490784,76.8,76.93
0.9,4.44,4.14,4.87,58.53,0.7643077373504639,76.79,76.93
0.9,4.44,3.69,4.55,58.54,0.764316201210022,76.78,76.93
0.9,4.44,5.0,4.86,58.54,0.7643052935600281,76.66,76.93
