Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.8,93.44,93.14,10.0,93.66,0.1807362139225006,93.57,93.66
0.8,93.44,93.39,10.0,93.66,0.18066616356372833,93.59,93.66
0.8,93.44,93.34,10.0,93.66,0.18070553243160248,93.56,93.66
0.8,93.44,93.39,10.0,93.66,0.18064360320568085,93.67,93.66
0.8,93.44,93.2,10.0,93.66,0.18067069351673126,93.59,93.66
0.8,93.44,93.12,10.0,93.66,0.18062159419059753,93.55,93.66
0.8,93.44,93.26,10.0,93.66,0.18055647611618042,93.54,93.66
0.8,93.44,93.18,10.0,93.66,0.180821493268013,93.72,93.66
0.8,93.44,93.26,10.0,93.66,0.18083825707435608,93.54,93.66
0.8,93.44,93.18,10.0,93.66,0.18069155514240265,93.52,93.66
