Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.8,93.44,93.4,10.0,93.66,0.2308550626039505,93.66,93.66
0.8,93.44,93.36,10.0,93.66,0.2310633510351181,93.68,93.66
0.8,93.44,93.4,10.0,93.66,0.2309185415506363,93.6,93.66
0.8,93.44,93.39,10.0,93.66,0.23101449012756348,93.54,93.66
0.8,93.44,93.4,10.0,93.66,0.2310246229171753,93.67,93.66
0.8,93.44,93.44,10.0,93.66,0.23101115226745605,93.66,93.66
0.8,93.44,93.38,10.0,93.66,0.23096804320812225,93.6,93.66
0.8,93.44,93.38,10.0,93.66,0.23112602531909943,93.64,93.66
0.8,93.44,93.35,10.0,93.66,0.23091454803943634,93.62,93.66
0.8,93.44,93.38,10.0,93.66,0.23096145689487457,93.64,93.66
