Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.9,84.02,84.28,83.91,91.91,0.8589183688163757,95.1,95.1
0.9,84.02,84.12,84.77,91.91,0.8589075207710266,95.07,95.1
0.9,84.02,83.85,84.9,91.91,0.8589199185371399,95.11,95.1
0.9,84.02,84.61,85.08,91.92,0.8589054942131042,95.15,95.1
0.9,84.02,83.21,84.74,91.9,0.8589216470718384,95.06,95.1
0.9,84.02,84.37,84.58,91.9,0.8589200973510742,95.1,95.1
0.9,84.02,84.53,84.88,91.91,0.8589065670967102,95.12,95.1
0.9,84.02,83.91,84.92,91.91,0.8588842749595642,95.04,95.1
0.9,84.02,84.01,84.29,91.92,0.858905553817749,95.12,95.1
0.9,84.02,84.49,84.61,91.91,0.8588927984237671,95.03,95.1
