Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.7,95.06,94.63,94.19,95.4,0.07769813388586044,95.02,95.4,10.35,10.0,0.9835885763168335
0.7,95.06,94.32,94.5,95.4,0.07775209844112396,94.99,95.4,10.0,10.0,0.9836043119430542
0.7,95.06,94.66,94.63,95.4,0.07778163254261017,95.07,95.4,13.3,10.0,0.9835762977600098
0.7,95.06,94.76,94.41,95.4,0.07790271937847137,94.91,95.4,11.93,10.0,0.9835314750671387
0.7,95.06,94.9,94.43,95.4,0.07775899022817612,95.18,95.4,10.0,10.0,0.9835732579231262
0.7,95.06,94.7,94.31,95.4,0.07772757858037949,95.1,95.4,10.0,10.0,0.9836038947105408
0.7,95.06,94.63,94.37,95.4,0.07772248238325119,94.96,95.4,12.34,10.0,0.9836247563362122
0.7,95.06,94.7,94.38,95.4,0.07780490070581436,95.02,95.4,10.09,10.0,0.9835951924324036
0.7,95.06,94.38,94.43,95.4,0.0777856633067131,94.9,95.4,10.14,10.0,0.9835866093635559
0.7,95.06,94.43,94.39,95.4,0.07763853669166565,95.0,95.4,11.35,10.0,0.983562171459198
