Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.7,69.04,69.07,69.19,74.57,0.5878564119338989,76.81,76.93
0.7,69.04,68.93,69.57,74.58,0.5878446102142334,77.02,76.93
0.7,69.04,69.11,69.34,74.58,0.5878663659095764,77.02,76.93
0.7,69.04,68.72,69.13,74.57,0.5878574252128601,76.89,76.93
0.7,69.04,68.94,69.36,74.59,0.5878689289093018,76.93,76.93
0.7,69.04,69.32,69.0,74.58,0.587904155254364,77.03,76.93
0.7,69.04,69.05,69.27,74.57,0.5878969430923462,76.91,76.93
0.7,69.04,68.98,69.12,74.57,0.5878641605377197,76.88,76.93
0.7,69.04,69.23,69.25,74.57,0.5878630876541138,76.81,76.93
0.7,69.04,68.95,69.38,74.57,0.5878604650497437,76.92,76.93
