Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.8,45.35,43.46,1.0,71.42,0.20379094779491425,70.78,71.43,1.0,1.0,0.9693570137023926
0.8,45.35,43.33,1.0,71.42,0.20385004580020905,70.8,71.43,1.0,1.0,0.9693717360496521
0.8,45.35,44.15,1.0,71.42,0.20388101041316986,70.79,71.43,1.0,1.0,0.9693768620491028
0.8,45.35,43.11,1.0,71.42,0.2038690596818924,70.7,71.43,1.0,1.0,0.9693994522094727
0.8,45.35,43.89,1.0,71.42,0.2038612961769104,70.85,71.43,1.0,1.0,0.9693737626075745
0.8,45.35,43.85,1.0,71.42,0.2036304920911789,70.8,71.43,1.0,1.0,0.9693856239318848
0.8,45.35,43.93,1.0,71.42,0.20387567579746246,71.11,71.43,1.0,1.0,0.969359815120697
0.8,45.35,43.66,1.0,71.42,0.2038140445947647,70.34,71.43,1.0,1.0,0.9693837761878967
0.8,45.35,45.18,1.0,71.42,0.20379045605659485,70.78,71.43,1.0,1.0,0.969382107257843
0.8,45.35,44.87,1.0,71.42,0.20392227172851562,70.92,71.43,1.0,1.0,0.9693952798843384
