Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.95,6.27,4.25,1.0,70.47,0.7218023538589478,70.87,71.43,1.0,1.0,0.9892941117286682
0.95,6.27,4.15,1.0,70.46,0.7218068242073059,71.32,71.43,1.0,1.0,0.9892796874046326
0.95,6.27,4.86,1.0,70.48,0.7218207120895386,71.06,71.43,1.0,1.0,0.9892809391021729
0.95,6.27,5.09,1.0,70.49,0.7217656970024109,71.02,71.43,1.0,1.0,0.9892936944961548
0.95,6.27,4.25,1.0,70.49,0.7217183709144592,70.82,71.43,1.0,1.0,0.9892846345901489
0.95,6.27,4.16,1.0,70.48,0.7217889428138733,71.13,71.43,1.0,1.0,0.9892978072166443
0.95,6.27,3.99,1.0,70.48,0.7217373251914978,70.93,71.43,1.0,1.0,0.9892892241477966
0.95,6.27,4.61,1.0,70.51,0.7216796278953552,70.93,71.43,1.0,1.0,0.9892870187759399
0.95,6.27,4.54,1.0,70.47,0.721802294254303,70.95,71.43,1.0,1.0,0.9892989993095398
0.95,6.27,4.75,1.0,70.47,0.721802294254303,70.85,71.43,1.0,1.0,0.9892911911010742
