Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,1.62,1.58,1.44,3.59,0.9246420860290527,76.92,76.95
0.95,1.62,1.85,1.57,3.65,0.9246769547462463,76.9,76.95
0.95,1.62,1.67,1.59,3.62,0.9247046709060669,76.96,76.95
0.95,1.62,1.2,1.57,3.58,0.9246307015419006,76.92,76.95
0.95,1.62,1.49,1.48,3.65,0.9246847629547119,77.03,76.95
0.95,1.62,1.48,1.52,3.66,0.9246755838394165,76.98,76.95
0.95,1.62,1.58,1.45,3.62,0.9246681928634644,76.98,76.95
0.95,1.62,1.61,1.5,3.67,0.9246782660484314,77.06,76.95
0.95,1.62,1.71,1.54,3.65,0.9246625304222107,77.03,76.95
0.95,1.62,1.44,1.57,3.65,0.924667239189148,76.98,76.95
