Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.9,1.08,1.0,1.0,71.31,0.5597561001777649,70.61,71.43,1.0,1.0,0.9781338572502136
0.9,1.08,1.11,1.0,71.31,0.5597976446151733,70.87,71.43,1.0,1.0,0.9781162738800049
0.9,1.08,1.0,1.0,71.31,0.5598612427711487,70.56,71.43,1.0,1.0,0.9781429171562195
0.9,1.08,1.0,1.0,71.31,0.5598670840263367,70.99,71.43,1.0,1.0,0.9781190156936646
0.9,1.08,1.0,1.0,71.31,0.5598769187927246,70.63,71.43,1.0,1.0,0.9781292080879211
0.9,1.08,1.09,1.0,71.31,0.5597684979438782,70.71,71.43,1.0,1.0,0.9781253933906555
0.9,1.08,1.0,1.0,71.31,0.5597435235977173,70.48,71.43,1.0,1.0,0.9781507253646851
0.9,1.08,1.12,1.0,71.31,0.5597785711288452,70.73,71.43,1.0,1.0,0.9781041145324707
0.9,1.08,1.16,1.0,71.31,0.5597858428955078,70.78,71.43,1.0,1.0,0.9781387448310852
0.9,1.08,1.42,1.0,71.31,0.5598998665809631,70.88,71.43,1.0,1.0,0.9781128764152527
