Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,1.62,1.04,2.1,40.85,0.8726914525032043,76.89,76.95
0.95,1.62,1.17,1.71,40.84,0.8727419972419739,77.1,76.95
0.95,1.62,1.28,1.82,40.89,0.8727380037307739,76.87,76.95
0.95,1.62,1.82,1.95,40.87,0.8727082014083862,76.86,76.95
0.95,1.62,1.63,1.83,40.77,0.8727774620056152,76.95,76.95
0.95,1.62,1.03,1.6,40.75,0.8727771639823914,76.77,76.95
0.95,1.62,1.63,1.82,40.86,0.87274169921875,76.97,76.95
0.95,1.62,1.86,1.39,40.79,0.8727765679359436,76.72,76.95
0.95,1.62,2.24,1.92,40.83,0.8727888464927673,76.82,76.95
0.95,1.62,1.37,1.76,40.9,0.8727301359176636,77.0,76.95
