Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.6,95.0,94.94,94.93,95.1,0.16473686695098877,95.01,95.1,93.76,93.62,0.8240147233009338
0.6,95.0,94.99,94.89,95.1,0.16483303904533386,95.05,95.1,93.73,93.62,0.8239907622337341
0.6,95.0,94.98,94.9,95.1,0.16478517651557922,95.05,95.1,93.76,93.64,0.8239628672599792
0.6,95.0,94.96,94.91,95.1,0.16472607851028442,95.05,95.1,93.72,93.64,0.8239833116531372
0.6,95.0,95.01,94.91,95.1,0.16489146649837494,95.06,95.1,93.92,93.62,0.8239913582801819
0.6,95.0,94.98,94.93,95.1,0.16468143463134766,95.09,95.1,93.7,93.61,0.824005126953125
0.6,95.0,94.99,94.9,95.1,0.16480059921741486,95.04,95.1,93.69,93.63,0.8239745497703552
0.6,95.0,94.97,94.96,95.1,0.16479001939296722,95.08,95.1,93.75,93.61,0.824013352394104
0.6,95.0,95.04,94.92,95.1,0.16473853588104248,95.06,95.1,93.69,93.63,0.8240254521369934
0.6,95.0,94.99,94.96,95.1,0.16473296284675598,95.03,95.1,93.72,93.64,0.8239573836326599
