Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.6,93.65,93.62,10.0,93.66,0.03447919338941574,93.67,93.66
0.6,93.65,93.62,10.0,93.66,0.03447744622826576,93.64,93.66
0.6,93.65,93.61,10.0,93.66,0.03453872352838516,93.7,93.66
0.6,93.65,93.6,10.0,93.66,0.03449980169534683,93.62,93.66
0.6,93.65,93.64,10.0,93.66,0.0344909206032753,93.67,93.66
0.6,93.65,93.67,10.0,93.66,0.03449520841240883,93.69,93.66
0.6,93.65,93.66,10.0,93.66,0.03450429067015648,93.65,93.66
0.6,93.65,93.59,10.0,93.66,0.03454635664820671,93.63,93.66
0.6,93.65,93.66,10.0,93.66,0.034493811428546906,93.68,93.66
0.6,93.65,93.64,10.0,93.66,0.034545108675956726,93.67,93.66
