Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.5,95.05,94.73,94.34,95.1,0.0013691686326637864,94.68,95.1,10.0,10.0,0.9883831739425659
0.5,95.05,94.5,94.47,95.1,0.0013599428348243237,94.58,95.1,10.0,10.0,0.9883950352668762
0.5,95.05,94.4,94.38,95.1,0.0013547559501603246,94.54,95.1,10.0,10.0,0.9883975386619568
0.5,95.05,94.72,94.27,95.1,0.001359262503683567,94.81,95.1,10.0,10.0,0.9884067177772522
0.5,95.05,94.81,94.52,95.1,0.0013561163796111941,94.87,95.1,10.0,10.0,0.9883862137794495
0.5,95.05,94.66,94.35,95.1,0.0013569241855293512,94.75,95.1,10.0,10.0,0.9883999824523926
0.5,95.05,94.9,94.54,95.1,0.001373802893795073,94.86,95.1,10.0,10.0,0.9883890748023987
0.5,95.05,94.42,94.36,95.1,0.0013530978467315435,94.46,95.1,10.0,10.0,0.9884071946144104
0.5,95.05,94.61,94.47,95.1,0.0013604529667645693,94.73,95.1,10.0,10.0,0.988411009311676
0.5,95.05,94.66,94.59,95.1,0.0013710818020626903,94.74,95.1,10.0,10.0,0.9883846640586853
