Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,13.22,19.26,24.2,94.37,0.783997118473053,95.13,95.1
0.95,13.22,17.12,21.69,94.35,0.7839457392692566,94.96,95.1
0.95,13.22,16.15,24.52,94.35,0.7839266061782837,94.94,95.1
0.95,13.22,21.99,25.45,94.35,0.7839321494102478,95.1,95.1
0.95,13.22,17.98,20.05,94.38,0.7840139269828796,95.1,95.1
0.95,13.22,21.46,27.6,94.36,0.7840011715888977,94.94,95.1
0.95,13.22,16.72,19.79,94.36,0.783959686756134,95.05,95.1
0.95,13.22,11.21,19.61,94.38,0.7840864062309265,95.03,95.1
0.95,13.22,17.29,22.36,94.37,0.783909022808075,94.98,95.1
0.95,13.22,12.32,20.84,94.39,0.783970057964325,94.99,95.1
