Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.9,4.44,3.93,4.68,21.69,0.8556252717971802,77.15,76.93
0.9,4.44,4.17,4.27,21.76,0.855591356754303,76.94,76.93
0.9,4.44,4.07,4.55,21.75,0.8556092381477356,76.9,76.93
0.9,4.44,4.44,4.43,21.74,0.8556048274040222,76.97,76.93
0.9,4.44,4.28,4.59,21.73,0.8556039929389954,76.9,76.93
0.9,4.44,4.4,4.68,21.75,0.8555963039398193,76.78,76.93
0.9,4.44,4.54,4.5,21.76,0.8555927872657776,76.95,76.93
0.9,4.44,4.31,4.4,21.73,0.8556322455406189,76.84,76.93
0.9,4.44,4.04,4.63,21.73,0.8556056618690491,76.97,76.93
0.9,4.44,4.78,4.49,21.76,0.8556109666824341,76.87,76.93
