Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,1.0,1.0,1.0,1.0,0.9410291910171509,71.51,71.43
0.95,1.0,1.0,1.0,1.0,0.9410346150398254,71.38,71.43
0.95,1.0,1.0,1.0,1.0,0.9410255551338196,71.47,71.43
0.95,1.0,1.0,1.0,1.0,0.9410204291343689,71.39,71.43
0.95,1.0,1.0,1.0,1.0,0.9410223364830017,71.5,71.43
0.95,1.0,1.0,1.0,1.0,0.9410140514373779,71.44,71.43
0.95,1.0,1.0,1.0,1.0,0.9410040974617004,71.41,71.43
0.95,1.0,1.0,1.0,1.0,0.9410176873207092,71.38,71.43
0.95,1.0,1.0,1.0,1.0,0.9410172700881958,71.42,71.43
0.95,1.0,1.0,1.0,1.0,0.9410188794136047,71.43,71.43
