Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.7,93.58,93.44,10.0,93.66,0.065554678440094,93.59,93.66
0.7,93.58,93.56,10.0,93.66,0.06569734215736389,93.62,93.66
0.7,93.58,93.57,10.0,93.66,0.06558806449174881,93.67,93.66
0.7,93.58,93.68,10.0,93.66,0.06567429006099701,93.76,93.66
0.7,93.58,93.5,10.0,93.66,0.06563786417245865,93.63,93.66
0.7,93.58,93.56,10.0,93.66,0.06568816304206848,93.73,93.66
0.7,93.58,93.45,10.0,93.66,0.06565802544355392,93.64,93.66
0.7,93.58,93.56,10.0,93.66,0.06555752456188202,93.72,93.66
0.7,93.58,93.63,10.0,93.66,0.06563766300678253,93.7,93.66
0.7,93.58,93.43,10.0,93.66,0.06570053845643997,93.6,93.66
