Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.95,2.42,1.5,1.04,65.55,0.7313218116760254,76.35,76.93,1.0,1.0,0.986392617225647
0.95,2.42,1.25,1.47,65.56,0.7313253879547119,76.04,76.93,1.2,1.0,0.9863849878311157
0.95,2.42,2.18,1.63,65.54,0.7312653064727783,76.12,76.93,1.0,1.0,0.9864059090614319
0.95,2.42,2.31,1.38,65.53,0.731343150138855,76.11,76.93,1.48,1.0,0.986378014087677
0.95,2.42,1.98,1.75,65.54,0.7312813401222229,76.47,76.93,1.0,1.0,0.9863832592964172
0.95,2.42,1.94,1.01,65.51,0.7314572930335999,76.07,76.93,1.0,1.0,0.9863874912261963
0.95,2.42,1.28,1.0,65.57,0.7312747240066528,76.31,76.93,1.0,1.0,0.9863893389701843
0.95,2.42,2.22,1.49,65.56,0.7312865257263184,76.15,76.93,1.0,1.0,0.9863923192024231
0.95,2.42,2.17,1.06,65.55,0.7313317656517029,75.63,76.93,1.0,1.0,0.9863894581794739
0.95,2.42,2.53,1.23,65.49,0.7313711643218994,76.27,76.93,1.0,1.0,0.9863851070404053
