Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,1.0,1.0,1.0,1.0,0.9123170375823975,71.28,71.43
0.95,1.0,1.0,1.0,1.0,0.912316083908081,71.27,71.43
0.95,1.0,1.0,1.0,1.0,0.9123393893241882,70.93,71.43
0.95,1.0,1.0,1.0,1.0,0.9123023152351379,70.96,71.43
0.95,1.0,1.0,1.0,1.0,0.9122969508171082,71.24,71.43
0.95,1.0,1.0,1.0,1.0,0.912278413772583,71.35,71.43
0.95,1.0,1.0,1.0,1.0,0.9123252034187317,71.21,71.43
0.95,1.0,1.0,1.0,1.0,0.9123108983039856,71.3,71.43
0.95,1.0,1.0,1.0,1.0,0.9123186469078064,71.12,71.43
0.95,1.0,1.0,1.0,1.0,0.9122798442840576,71.29,71.43
