Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,13.22,15.07,25.92,90.17,0.8760977387428284,95.06,95.1
0.95,13.22,15.0,29.05,90.16,0.8761451840400696,95.07,95.1
0.95,13.22,13.27,26.19,90.16,0.8760870099067688,95.0,95.1
0.95,13.22,13.55,26.47,90.19,0.8761072158813477,95.1,95.1
0.95,13.22,15.21,25.33,90.18,0.8761014342308044,95.09,95.1
0.95,13.22,15.51,26.48,90.16,0.8761768937110901,95.07,95.1
0.95,13.22,15.96,25.49,90.18,0.8761414289474487,94.97,95.1
0.95,13.22,13.31,25.15,90.16,0.8761558532714844,95.04,95.1
0.95,13.22,13.88,28.08,90.17,0.8760938048362732,95.07,95.1
0.95,13.22,14.25,27.13,90.14,0.8760618567466736,95.01,95.1
