Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.6,95.23,94.97,95.21,95.4,0.022663850337266922,95.22,95.4,12.64,10.0,0.967924952507019
0.6,95.23,94.82,94.94,95.4,0.02268175035715103,95.04,95.4,16.62,10.0,0.9679263830184937
0.6,95.23,95.06,95.04,95.4,0.022699737921357155,95.11,95.4,16.49,10.0,0.9678440093994141
0.6,95.23,95.11,95.12,95.4,0.022611139342188835,95.19,95.4,13.39,10.0,0.9679125547409058
0.6,95.23,95.0,95.05,95.4,0.022669130936264992,95.05,95.4,10.05,10.0,0.9679325222969055
0.6,95.23,94.91,94.85,95.4,0.022671189159154892,94.96,95.4,16.12,10.0,0.9679423570632935
0.6,95.23,95.08,95.22,95.4,0.02269347384572029,95.26,95.4,10.33,10.0,0.9679433703422546
0.6,95.23,95.02,95.14,95.4,0.022680407389998436,95.18,95.4,14.45,10.0,0.9679452180862427
0.6,95.23,94.86,94.81,95.4,0.022669577971100807,95.08,95.4,13.17,10.0,0.9679128527641296
0.6,95.23,95.06,95.08,95.4,0.022675752639770508,95.15,95.4,10.0,10.0,0.967897355556488
