Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.8,67.37,67.24,68.26,73.31,0.7255961894989014,76.88,76.95
0.8,67.37,67.69,68.17,73.32,0.7256283760070801,76.89,76.95
0.8,67.37,67.53,68.3,73.32,0.7256431579589844,76.92,76.95
0.8,67.37,67.98,68.7,73.32,0.7256242036819458,76.98,76.95
0.8,67.37,67.66,68.22,73.3,0.7255840301513672,76.98,76.95
0.8,67.37,67.6,68.35,73.3,0.725631594657898,76.96,76.95
0.8,67.37,67.27,68.28,73.32,0.7255857586860657,76.91,76.95
0.8,67.37,67.62,68.33,73.3,0.7255954742431641,77.05,76.95
0.8,67.37,67.76,68.51,73.33,0.7256041169166565,76.95,76.95
0.8,67.37,67.94,68.11,73.31,0.7256262302398682,76.88,76.95
