Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.7,93.58,93.51,10.0,93.66,0.14317317306995392,93.7,93.66
0.7,93.58,93.59,10.0,93.66,0.14326897263526917,93.69,93.66
0.7,93.58,93.53,10.0,93.66,0.14314468204975128,93.61,93.66
0.7,93.58,93.64,10.0,93.66,0.1432434767484665,93.66,93.66
0.7,93.58,93.6,10.0,93.66,0.14330410957336426,93.67,93.66
0.7,93.58,93.66,10.0,93.66,0.14322881400585175,93.67,93.66
0.7,93.58,93.6,10.0,93.66,0.14337675273418427,93.66,93.66
0.7,93.58,93.61,10.0,93.66,0.14322316646575928,93.65,93.66
0.7,93.58,93.6,10.0,93.66,0.14330680668354034,93.69,93.66
0.7,93.58,93.57,10.0,93.66,0.14331822097301483,93.66,93.66
