Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.95,1.62,1.08,2.24,73.3,0.7266849875450134,76.15,76.95,1.0,1.0,0.9925155639648438
0.95,1.62,2.03,2.57,73.27,0.7265587449073792,76.41,76.95,1.0,1.0,0.9924877285957336
0.95,1.62,3.17,3.54,73.29,0.7266389727592468,75.91,76.95,1.51,1.0,0.9924938678741455
0.95,1.62,1.35,4.03,73.28,0.726660430431366,75.49,76.95,1.0,1.0,0.99250727891922
0.95,1.62,1.71,3.59,73.34,0.7265048623085022,76.33,76.95,1.04,1.0,0.9925154447555542
0.95,1.62,2.21,3.69,73.31,0.7266731858253479,75.98,76.95,1.5,1.0,0.9925141930580139
0.95,1.62,1.83,3.77,73.3,0.7265909314155579,75.77,76.95,1.0,1.0,0.9925201535224915
0.95,1.62,1.35,2.95,73.3,0.7266574501991272,76.02,76.95,1.43,1.0,0.9924980998039246
0.95,1.62,1.02,2.64,73.29,0.7266780138015747,75.57,76.95,1.0,1.0,0.9925050139427185
0.95,1.62,1.86,2.42,73.28,0.7266599535942078,76.23,76.95,1.25,1.0,0.992512047290802
