Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.9,84.02,83.7,82.74,94.69,0.7147988080978394,95.11,95.1,10.07,10.0,0.9667614698410034
0.9,84.02,85.74,83.31,94.67,0.714862048625946,95.01,95.1,10.0,10.0,0.9667788147926331
0.9,84.02,84.77,83.33,94.67,0.7148681879043579,94.99,95.1,10.0,10.0,0.9667658805847168
0.9,84.02,85.39,83.87,94.69,0.7147958278656006,95.08,95.1,10.0,10.0,0.96681809425354
0.9,84.02,83.98,84.46,94.68,0.7148480415344238,94.99,95.1,10.0,10.0,0.9668007493019104
0.9,84.02,84.54,83.8,94.71,0.7147090435028076,95.02,95.1,10.0,10.0,0.9668094515800476
0.9,84.02,84.79,83.99,94.69,0.714812159538269,95.0,95.1,10.0,10.0,0.9667849540710449
0.9,84.02,85.8,83.24,94.68,0.7148350477218628,95.06,95.1,10.0,10.0,0.9668202996253967
0.9,84.02,85.14,83.68,94.68,0.7148503661155701,95.03,95.1,10.0,10.0,0.9667947888374329
0.9,84.02,84.83,81.69,94.71,0.7147033214569092,95.05,95.1,10.0,10.0,0.966789722442627
