Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.5,71.29,71.33,1.0,71.43,0.010301297530531883,71.42,71.43,1.0,36.91,0.9141485095024109
0.5,71.29,71.11,1.0,71.43,0.010322456248104572,71.12,71.43,1.0,36.92,0.9141643643379211
0.5,71.29,71.13,1.0,71.43,0.010361387394368649,71.3,71.43,1.0,36.87,0.9140908718109131
0.5,71.29,70.94,1.0,71.43,0.010362482629716396,71.01,71.43,1.0,36.91,0.9140716791152954
0.5,71.29,71.32,1.0,71.43,0.010357753373682499,71.27,71.43,1.0,36.9,0.9141254425048828
0.5,71.29,70.94,1.0,71.43,0.010371394455432892,71.15,71.43,1.0,36.92,0.9141443371772766
0.5,71.29,71.27,1.0,71.43,0.010351131670176983,71.44,71.43,1.0,36.9,0.9141138792037964
0.5,71.29,71.24,1.0,71.43,0.010351032018661499,71.23,71.43,1.0,36.89,0.9141199588775635
0.5,71.29,71.06,1.0,71.43,0.01033390685915947,71.23,71.43,1.0,36.9,0.9141140580177307
0.5,71.29,71.36,1.0,71.43,0.010362084023654461,71.37,71.43,1.0,36.95,0.9141331911087036
