Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,13.22,13.58,15.57,55.96,0.9284594655036926,95.12,95.1
0.95,13.22,13.88,16.81,55.99,0.9284661412239075,95.1,95.1
0.95,13.22,15.12,15.14,55.98,0.9284557104110718,95.1,95.1
0.95,13.22,12.6,17.0,56.02,0.9284794330596924,95.11,95.1
0.95,13.22,13.22,15.92,55.97,0.928459107875824,95.03,95.1
0.95,13.22,13.73,13.77,56.04,0.9284400343894958,95.09,95.1
0.95,13.22,14.0,15.34,56.05,0.9284388422966003,95.11,95.1
0.95,13.22,13.62,15.63,55.91,0.92848140001297,95.06,95.1
0.95,13.22,13.78,15.01,55.99,0.9284604787826538,95.01,95.1
0.95,13.22,14.14,15.94,56.02,0.9284766316413879,95.06,95.1
