Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,1.62,1.5,6.71,65.45,0.8117470741271973,76.54,76.95
0.95,1.62,1.71,5.53,65.47,0.811791181564331,76.59,76.95
0.95,1.62,2.0,7.34,65.45,0.811748743057251,76.52,76.95
0.95,1.62,2.42,5.24,65.45,0.8118230104446411,76.79,76.95
0.95,1.62,1.55,5.24,65.43,0.8118030428886414,76.74,76.95
0.95,1.62,1.24,6.72,65.45,0.8117201328277588,76.81,76.95
0.95,1.62,1.21,6.07,65.43,0.8118031024932861,76.54,76.95
0.95,1.62,1.05,5.68,65.47,0.8117119669914246,76.53,76.95
0.95,1.62,1.91,5.28,65.49,0.811687707901001,76.92,76.95
0.95,1.62,1.29,5.91,65.46,0.8117328882217407,76.59,76.95
