Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.7,69.95,69.66,1.0,71.43,0.10991416871547699,71.05,71.43
0.7,69.95,69.72,1.0,71.43,0.10994463413953781,71.28,71.43
0.7,69.95,69.4,1.0,71.43,0.10978353023529053,71.07,71.43
0.7,69.95,69.71,1.0,71.43,0.10991217195987701,71.15,71.43
0.7,69.95,70.03,1.0,71.43,0.10987329483032227,71.42,71.43
0.7,69.95,69.74,1.0,71.43,0.10992586612701416,71.03,71.43
0.7,69.95,69.67,1.0,71.43,0.11000999808311462,71.18,71.43
0.7,69.95,69.76,1.0,71.43,0.10988105833530426,70.96,71.43
0.7,69.95,69.82,1.0,71.43,0.1099478229880333,71.39,71.43
0.7,69.95,69.94,1.0,71.43,0.10988061130046844,71.31,71.43
