Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.9,1.08,1.09,1.0,64.7,0.7664739489555359,71.15,71.43
0.9,1.08,1.01,1.0,64.7,0.7665932774543762,71.23,71.43
0.9,1.08,1.0,1.0,64.72,0.7665706872940063,71.21,71.43
0.9,1.08,1.43,1.0,64.7,0.7665408253669739,71.16,71.43
0.9,1.08,1.07,1.0,64.72,0.7664514780044556,71.46,71.43
0.9,1.08,1.13,1.0,64.7,0.7664716839790344,71.05,71.43
0.9,1.08,1.01,1.0,64.71,0.766529381275177,71.28,71.43
0.9,1.08,1.05,1.0,64.7,0.7664910554885864,71.12,71.43
0.9,1.08,1.0,1.0,64.7,0.7664888501167297,71.14,71.43
0.9,1.08,1.39,1.0,64.72,0.7664391398429871,71.09,71.43
