Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.7,94.87,95.01,95.15,95.42,0.22298572957515717,95.36,95.4
0.7,94.87,94.99,95.15,95.42,0.22274024784564972,95.35,95.4
0.7,94.87,95.06,95.17,95.42,0.22268977761268616,95.33,95.4
0.7,94.87,95.05,95.24,95.42,0.22285480797290802,95.27,95.4
0.7,94.87,94.97,95.17,95.42,0.2227366715669632,95.36,95.4
0.7,94.87,94.91,95.22,95.42,0.22276055812835693,95.3,95.4
0.7,94.87,95.0,95.2,95.42,0.22260251641273499,95.32,95.4
0.7,94.87,95.11,95.22,95.42,0.22285416722297668,95.28,95.4
0.7,94.87,95.06,95.11,95.42,0.22266364097595215,95.42,95.4
0.7,94.87,95.08,95.11,95.42,0.22268915176391602,95.39,95.4
