Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,21.1,17.2,18.45,76.15,0.8294175863265991,95.09,95.4
0.95,21.1,18.99,15.46,76.15,0.8294174671173096,95.32,95.4
0.95,21.1,18.78,19.57,76.15,0.8294225931167603,95.36,95.4
0.95,21.1,16.78,17.26,76.28,0.8292971253395081,95.19,95.4
0.95,21.1,21.71,17.02,76.24,0.8293362855911255,95.34,95.4
0.95,21.1,22.35,16.69,76.27,0.8293241262435913,95.26,95.4
0.95,21.1,17.08,17.34,76.17,0.829429566860199,95.3,95.4
0.95,21.1,20.02,18.89,76.3,0.8292189836502075,95.33,95.4
0.95,21.1,19.04,15.38,76.24,0.8293313980102539,95.22,95.4
0.95,21.1,22.29,18.58,76.13,0.8294088840484619,95.3,95.4
