Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.95,2.42,1.85,2.06,2.65,0.9225257039070129,76.84,76.93
0.95,2.42,1.89,1.99,2.68,0.9225005507469177,76.99,76.93
0.95,2.42,2.04,2.05,2.68,0.9224991202354431,76.91,76.93
0.95,2.42,2.31,2.16,2.64,0.9225557446479797,76.94,76.93
0.95,2.42,1.92,1.97,2.69,0.922514021396637,76.85,76.93
0.95,2.42,1.94,1.96,2.68,0.9224993586540222,76.92,76.93
0.95,2.42,2.07,1.9,2.69,0.9225100874900818,76.95,76.93
0.95,2.42,2.37,2.27,2.69,0.9225099086761475,76.91,76.93
0.95,2.42,2.17,2.31,2.71,0.922507643699646,76.93,76.93
0.95,2.42,2.13,2.03,2.68,0.9224976897239685,77.0,76.93
