Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.5,71.29,70.65,1.0,71.43,0.003235326148569584,70.94,71.43,1.0,11.16,0.9412675499916077
0.5,71.29,70.64,1.0,71.43,0.0032499628141522408,71.01,71.43,1.0,11.19,0.9412850737571716
0.5,71.29,70.58,1.0,71.43,0.0032410016283392906,71.09,71.43,1.0,11.19,0.941268265247345
0.5,71.29,70.84,1.0,71.43,0.003250808920711279,71.16,71.43,1.0,11.07,0.9412564039230347
0.5,71.29,70.37,1.0,71.43,0.0032138691749423742,70.71,71.43,1.0,11.18,0.9412639737129211
0.5,71.29,70.64,1.0,71.43,0.00322502083145082,70.7,71.43,1.0,11.2,0.9412762522697449
0.5,71.29,71.14,1.0,71.43,0.003250112058594823,71.62,71.43,1.0,11.21,0.9412841200828552
0.5,71.29,70.78,1.0,71.43,0.0032438889611512423,71.01,71.43,1.0,11.16,0.9412703514099121
0.5,71.29,70.7,1.0,71.43,0.0032276096753776073,71.03,71.43,1.0,11.13,0.9413008093833923
0.5,71.29,70.54,1.0,71.43,0.0032317915465682745,70.93,71.43,1.0,11.18,0.9412809014320374
