Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.6,71.13,71.13,1.0,71.45,0.2847348749637604,71.42,71.43
0.6,71.13,71.17,1.0,71.46,0.2846182882785797,71.44,71.43
0.6,71.13,71.21,1.0,71.45,0.28477805852890015,71.53,71.43
0.6,71.13,71.09,1.0,71.45,0.2847403585910797,71.48,71.43
0.6,71.13,71.17,1.0,71.46,0.2846031188964844,71.45,71.43
0.6,71.13,71.1,1.0,71.45,0.2847672998905182,71.49,71.43
0.6,71.13,71.1,1.0,71.45,0.2847227454185486,71.38,71.43
0.6,71.13,71.19,1.0,71.45,0.28466683626174927,71.42,71.43
0.6,71.13,71.01,1.0,71.45,0.28479278087615967,71.3,71.43
0.6,71.13,71.11,1.0,71.45,0.2848081588745117,71.41,71.43
