Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.7,94.87,95.19,94.98,95.4,0.1009649932384491,95.37,95.4
0.7,94.87,95.06,94.93,95.4,0.10094539821147919,95.32,95.4
0.7,94.87,95.0,95.09,95.4,0.10105636715888977,95.26,95.4
0.7,94.87,95.15,94.99,95.4,0.10089053958654404,95.35,95.4
0.7,94.87,95.02,94.9,95.4,0.10081151127815247,95.31,95.4
0.7,94.87,95.07,94.93,95.4,0.1008518785238266,95.26,95.4
0.7,94.87,95.09,95.01,95.4,0.10086753964424133,95.3,95.4
0.7,94.87,95.06,94.95,95.4,0.10100410878658295,95.21,95.4
0.7,94.87,94.91,94.96,95.4,0.10082413256168365,95.26,95.4
0.7,94.87,95.28,94.74,95.4,0.10084918886423111,95.35,95.4
