Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.6,93.65,93.6,10.0,93.66,0.011184290051460266,93.66,93.66
0.6,93.65,93.55,10.0,93.66,0.011148262768983841,93.62,93.66
0.6,93.65,93.54,10.0,93.66,0.011168621480464935,93.57,93.66
0.6,93.65,93.46,10.0,93.66,0.011117924004793167,93.56,93.66
0.6,93.65,93.48,10.0,93.66,0.011127105914056301,93.62,93.66
0.6,93.65,93.52,10.0,93.66,0.01110684685409069,93.54,93.66
0.6,93.65,93.45,10.0,93.66,0.011136386543512344,93.53,93.66
0.6,93.65,93.55,10.0,93.66,0.011197163723409176,93.66,93.66
0.6,93.65,93.53,10.0,93.66,0.01115285325795412,93.65,93.66
0.6,93.65,93.47,10.0,93.66,0.011147115379571915,93.6,93.66
