Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.7,69.95,69.92,1.0,71.35,0.5370339751243591,71.39,71.43
0.7,69.95,69.92,1.0,71.35,0.5370312333106995,71.42,71.43
0.7,69.95,70.05,1.0,71.35,0.5369340181350708,71.44,71.43
0.7,69.95,69.98,1.0,71.35,0.5369949340820312,71.47,71.43
0.7,69.95,69.9,1.0,71.35,0.537032961845398,71.47,71.43
0.7,69.95,70.04,1.0,71.35,0.5370157957077026,71.37,71.43
0.7,69.95,69.92,1.0,71.35,0.5369078516960144,71.46,71.43
0.7,69.95,69.91,1.0,71.35,0.5370075702667236,71.52,71.43
0.7,69.95,69.91,1.0,71.35,0.5370051860809326,71.38,71.43
0.7,69.95,70.0,1.0,71.35,0.5369987487792969,71.55,71.43
