Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.5,93.65,93.46,10.0,93.66,0.00224579987116158,93.47,93.66,10.0,80.77,0.9598235487937927
0.5,93.65,93.67,10.0,93.66,0.0022221477702260017,93.65,93.66,10.0,80.8,0.9598214030265808
0.5,93.65,93.6,10.0,93.66,0.0022481949999928474,93.65,93.66,10.0,80.57,0.9598434567451477
0.5,93.65,93.77,10.0,93.66,0.002217407338321209,93.62,93.66,10.0,80.77,0.9598239064216614
0.5,93.65,93.65,10.0,93.66,0.002231977880001068,93.56,93.66,10.0,80.7,0.9598302245140076
0.5,93.65,93.59,10.0,93.66,0.002230929909273982,93.67,93.66,10.0,80.59,0.9598478674888611
0.5,93.65,93.59,10.0,93.66,0.002226738492026925,93.69,93.66,10.0,80.73,0.9598155617713928
0.5,93.65,93.71,10.0,93.66,0.00223038112744689,93.72,93.66,10.0,80.49,0.959870457649231
0.5,93.65,93.43,10.0,93.66,0.002238364890217781,93.5,93.66,10.0,80.59,0.9598492980003357
0.5,93.65,93.56,10.0,93.66,0.0022189044393599033,93.59,93.66,10.0,80.74,0.9598126411437988
