Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup union accuracy,Original with new pruning rate union,New pruning rate union,Dense soup then prune,Dense original,Prune then Soup intersection accuracy,Original with new pruning rate intersection,New pruning rate intersection
0.9,77.8,84.92,65.84,95.29,0.5108122229576111,95.12,95.4,10.0,11.01,0.9939620494842529
0.9,77.8,75.71,69.22,95.29,0.5108938217163086,95.08,95.4,10.0,10.07,0.9939837455749512
0.9,77.8,79.35,71.24,95.29,0.5108083486557007,95.03,95.4,10.91,9.98,0.993996262550354
0.9,77.8,82.53,42.28,95.26,0.5110419392585754,95.01,95.4,10.0,10.31,0.9939659237861633
0.9,77.8,71.22,61.98,95.29,0.5107308626174927,95.21,95.4,10.0,10.06,0.9939892888069153
0.9,77.8,81.82,69.89,95.29,0.5108234882354736,95.09,95.4,10.0,10.06,0.993975043296814
0.9,77.8,77.09,64.61,95.29,0.5108038187026978,95.03,95.4,10.0,10.09,0.9939863085746765
0.9,77.8,75.79,55.11,95.27,0.510928750038147,94.99,95.4,10.37,9.99,0.9939910769462585
0.9,77.8,80.09,57.04,95.29,0.5109035968780518,95.1,95.4,10.0,10.3,0.9939678907394409
0.9,77.8,74.41,59.55,95.26,0.5109754204750061,94.8,95.4,10.0,9.96,0.9939931035041809
