Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.8,94.2,94.04,93.48,95.1,0.3407582640647888,95.07,95.1
0.8,94.2,94.11,93.56,95.1,0.3406657874584198,94.98,95.1
0.8,94.2,94.13,93.46,95.1,0.3408453166484833,95.04,95.1
0.8,94.2,94.18,93.62,95.1,0.34083113074302673,94.97,95.1
0.8,94.2,94.22,93.5,95.1,0.3406582176685333,94.97,95.1
0.8,94.2,94.2,93.23,95.1,0.3406730592250824,95.12,95.1
0.8,94.2,94.03,93.44,95.1,0.3407588005065918,95.04,95.1
0.8,94.2,94.27,93.67,95.1,0.34065985679626465,95.04,95.1
0.8,94.2,94.06,93.49,95.1,0.3407090902328491,95.04,95.1
0.8,94.2,94.16,93.47,95.1,0.3407008647918701,94.98,95.1
